seed,layer,r2,cos,gain_vs_identity,mean_delta_norm_pred,mean_delta_norm_true,mean_spread_delta_pred,mean_spread_delta_true,std_spread_delta_true
4,0,0.6532078981399536,0.9952610731124878,0.676790714263916,0.188578799366951,0.19611191749572754,-0.00827157124876976,-0.010179403237998486,0.044081542640924454
4,1,0.5593658089637756,0.9942430257797241,0.5398501753807068,0.17306792736053467,0.18961180746555328,0.001238399650901556,0.0014170481590554118,0.03540893271565437
4,2,0.6634026169776917,0.9952845573425293,0.47461700439453125,0.1695757955312729,0.18083705008029938,0.001783051062375307,0.0048065208829939365,0.028036871924996376
4,3,0.7233803272247314,0.9961525797843933,0.4194867014884949,0.16484113037586212,0.1666981279850006,0.0008941207779571414,2.2846825231681578e-05,0.026686184108257294
4,4,0.6451804041862488,0.9952334761619568,0.4613209366798401,0.16837374866008759,0.17749632894992828,-0.003066959325224161,-0.004831572994589806,0.0176509078592062
4,5,0.6899756193161011,0.9958877563476562,0.4961738586425781,0.16852939128875732,0.17379584908485413,0.0020298082381486893,0.0011790115386247635,0.030868537724018097
4,6,0.6336777210235596,0.9950302243232727,0.37356096506118774,0.16217942535877228,0.17012543976306915,0.0032581600826233625,0.006319236941635609,0.026762032881379128
4,7,0.6376467347145081,0.9949491024017334,0.2921168804168701,0.1581788808107376,0.16254842281341553,-0.0036346414126455784,-0.001164054381661117,0.02341017685830593
4,8,0.6456790566444397,0.9947844743728638,0.1738375425338745,0.1501203030347824,0.14902682602405548,0.0024345931597054005,0.004287534859031439,0.026745356619358063
4,9,0.5772813558578491,0.9940057992935181,0.2543310523033142,0.16161110997200012,0.16479693353176117,-0.0033015073277056217,-0.002868067240342498,0.029528725892305374
4,10,0.6629021167755127,0.9950902462005615,0.12030792236328125,0.1493888944387436,0.13737830519676208,-0.0017508852761238813,0.0016235124785453081,0.02689216658473015
4,11,0.6898059844970703,0.9954603314399719,0.07226568460464478,0.14640000462532043,0.12585489451885223,0.0014686401700600982,0.002429746789857745,0.02443678118288517
4,12,0.6299862861633301,0.9945774674415588,0.07833313941955566,0.1473373919725418,0.1360684335231781,-0.0005696135922335088,-0.00473094591870904,0.024603519588708878
4,13,0.6874884366989136,0.995243489742279,0.06482720375061035,0.14261099696159363,0.12770020961761475,-0.002821709495037794,0.001243756734766066,0.02058662287890911
4,14,0.6715420484542847,0.9950858354568481,0.014859914779663086,0.13749785721302032,0.12002634257078171,-0.0023317045997828245,0.0002657430595718324,0.024195777252316475
4,15,0.6884951591491699,0.9955111742019653,0.020548105239868164,0.1398392617702484,0.11715027689933777,-0.0023716005962342024,-0.003278146032243967,0.015422008000314236
4,16,0.6882530450820923,0.9956080317497253,0.056335270404815674,0.14219044148921967,0.12162179499864578,0.0024679959751665592,0.0034865227062255144,0.02065851539373398
4,17,0.6850502490997314,0.995495080947876,0.059568941593170166,0.14018651843070984,0.12301654368638992,-0.003307763487100601,-0.0023454073816537857,0.02234339527785778
4,18,0.7044466733932495,0.9956936240196228,0.14938771724700928,0.14742350578308105,0.13628529012203217,0.00232800655066967,0.004670759662985802,0.02138349786400795
4,19,0.6985353231430054,0.9956717491149902,0.157098650932312,0.14967277646064758,0.13786230981349945,-0.002629583002999425,-0.0009699354413896799,0.01662302389740944
4,20,0.7350080013275146,0.9962011575698853,0.196100652217865,0.14900490641593933,0.1379278004169464,-0.0036810538731515408,-0.0023771245032548904,0.02026992291212082
4,21,0.7792288661003113,0.9965955018997192,0.1640964150428772,0.1419575959444046,0.1277341991662979,-0.005340717267245054,-0.004494921304285526,0.03071051836013794
4,22,0.8016435503959656,0.9968015551567078,0.08579403162002563,0.1312638223171234,0.11485569179058075,0.0003983159549534321,0.002187140053138137,0.014635700732469559
4,23,0.800851583480835,0.9968035817146301,0.04436361789703369,0.12348441034555435,0.10661952197551727,-0.000576247985009104,-0.0006862343288958073,0.010694210417568684
4,24,0.801612377166748,0.9966323971748352,0.06614512205123901,0.12704171240329742,0.11358298361301422,0.005295159760862589,0.005266084801405668,0.016298092901706696
4,25,0.8095694184303284,0.996697187423706,0.007876217365264893,0.12136517465114594,0.10021575540304184,0.0008747577667236328,0.00206326344050467,0.010440345853567123
4,26,0.7418034076690674,0.9961710572242737,0.34128475189208984,0.15832091867923737,0.14839808642864227,0.00019351074297446758,-3.715923958225176e-05,0.05137701705098152
