"model","prompt_id","graph_id","initial_deficit","delta_DeltaU","predicted_delta_margin_oof","margin_policy","crossing"
"qwen","g079_closure_update",79,2.96875,2.15081572532654,2.00210591839182,-1.546875,"No observed crossing"
"qwen","g079_closure_override",79,5.0625,3.96636843681335,2.87830330145314,-2.078125,"No observed crossing"
"qwen","g079_exception_override",79,2.859375,3.28635382652283,2.55012388908451,-1.1875,"No observed crossing"
"qwen","g080_closure_update",80,3.171875,2.18802309036255,1.79539423169217,-1.8125,"No observed crossing"
"qwen","g080_closure_override",80,4.03125,2.8004367351532,2.19852329510917,-2.375,"No observed crossing"
"qwen","g080_exception_override",80,3.40625,2.87057209014893,2.2446907837214,-1.6875,"No observed crossing"
"qwen","g085_closure_update",85,4.828125,3.36929202079773,2.63737884267292,-2.8125,"No observed crossing"
"qwen","g085_closure_override",85,5.15625,3.56217837333679,2.73037123190767,-2.4375,"No observed crossing"
"qwen","g085_exception_override",85,2.59375,2.39884209632874,2.16951548209237,-1.53125,"No observed crossing"
"qwen","g088_closure_update",88,3.1875,4.68102765083313,3.33108031140884,-1.34375,"No observed crossing"
"qwen","g088_closure_override",88,6.6875,4.07012462615967,3.00497646636783,-2.921875,"No observed crossing"
"qwen","g088_exception_override",88,4.25,4.21000194549561,3.07964385190559,-1.8125,"No observed crossing"
"qwen","g094_closure_update",94,1.71875,1.55100059509277,1.64228097785238,-1.140625,"No observed crossing"
"qwen","g094_closure_override",94,6.640625,3.94829273223877,2.82009499461136,-3.171875,"No observed crossing"
"qwen","g094_exception_override",94,5.421875,4.22711181640625,2.95708164733668,-2.46875,"No observed crossing"
"llama","g000_closure_update",0,0.296875,0.734516739845276,0.707625592409736,0.34375,"Observed crossing"
"llama","g000_exception_override",0,0.46875,0.642764329910278,0.620146581089536,0.078125,"Observed crossing"
"llama","g004_exception_override",4,0.015625,0.301049947738647,0.28142986240866,0.34375,"Observed crossing"
"llama","g009_closure_update",9,2.046875,-0.137130498886108,-0.114205472437437,-2.203125,"No observed crossing"
"llama","g009_closure_override",9,1.8125,0.0251117944717407,0.0344048823694543,-1.78125,"No observed crossing"
"llama","g009_exception_override",9,1.765625,-0.114303231239319,-0.0932961998054304,-1.890625,"No observed crossing"
"llama","g012_closure_update",12,1.609375,0.791061282157898,0.761536554100723,-0.9375,"No observed crossing"
"llama","g012_closure_override",12,1.15625,0.0775097608566284,0.0812189291611495,-1.125,"No observed crossing"
"llama","g012_exception_override",12,1.125,0.184245586395264,0.182983498584232,-1,"No observed crossing"
"llama","g015_closure_update",15,1.046875,0.488938570022583,0.452499544905664,-0.625,"No observed crossing"
"llama","g015_closure_override",15,0.375,0.06280317902565,0.0645098670186341,-0.328125,"No observed crossing"
"llama","g015_exception_override",15,0.65625,-0.054442286491394,-0.0422403146390076,-0.71875,"No observed crossing"
"llama","g018_closure_update",18,1.703125,0.740655541419983,0.689827139495027,-1.0625,"No observed crossing"
"llama","g018_closure_override",18,0.796875,0.221285432577133,0.214095599008296,-0.59375,"No observed crossing"
"llama","g018_exception_override",18,1.40625,0.573597192764282,0.53680538448064,-0.890625,"No observed crossing"
"llama","g030_closure_update",30,1.046875,0.914582371711731,0.879304608356937,-0.265625,"No observed crossing"
"llama","g030_closure_override",30,0.046875,0.160245537757874,0.160101260091281,0.09375,"Observed crossing"
"llama","g030_exception_override",30,0.765625,0.500493168830872,0.484501746044651,-0.34375,"No observed crossing"
"llama","g031_closure_update",31,1.28125,0.648527860641479,0.597803123931539,-0.640625,"No observed crossing"
"llama","g031_closure_override",31,0.28125,0.0601634979248047,0.0621064782326302,-0.21875,"No observed crossing"
"llama","g031_exception_override",31,1.328125,0.770460158586502,0.70882059397325,-0.578125,"No observed crossing"
"llama","g033_closure_update",33,0.4375,0.0613885819911957,0.0676336179410696,-0.375,"No observed crossing"
"llama","g033_exception_override",33,1.078125,0.285843789577484,0.273229627139981,-0.8125,"No observed crossing"
"llama","g039_closure_update",39,0.34375,0.0620740056037903,0.0547761267759991,-0.28125,"No observed crossing"
"llama","g039_exception_override",39,0.3125,0.293224439024925,0.27190886233591,-0.046875,"No observed crossing"
"llama","g042_closure_update",42,1.84375,0.6203773021698,0.598802236515673,-1.328125,"No observed crossing"
"llama","g042_closure_override",42,1.421875,0.11850380897522,0.120303666030379,-1.34375,"No observed crossing"
"llama","g042_exception_override",42,1.671875,0.60106098651886,0.580385584607671,-1.15625,"No observed crossing"
"llama","g045_closure_update",45,2.21875,0.579305648803711,0.534777371457118,-1.6875,"No observed crossing"
"llama","g045_closure_override",45,1.75,0.0434049367904663,0.0468480677045807,-1.703125,"No observed crossing"
"llama","g045_exception_override",45,2,0.259348511695862,0.243461350335971,-1.734375,"No observed crossing"
"llama","g067_closure_update",67,0.296875,0.471760958433151,0.438275363104667,0.171875,"Observed crossing"
"llama","g067_exception_override",67,0.640625,0.879183381795883,0.807925101745732,0.234375,"Observed crossing"
"llama","g069_closure_update",69,0.328125,0.0615323781967163,0.0633528225330234,-0.265625,"No observed crossing"
"llama","g069_closure_override",69,0.390625,0.0284528434276581,0.0332344181224588,-0.375,"No observed crossing"
"llama","g069_exception_override",69,0.96875,0.22308948636055,0.210448068976183,-0.765625,"No observed crossing"
"llama","g073_closure_update",73,0.8125,0.63553461432457,0.593538693677622,-0.171875,"No observed crossing"
"llama","g073_exception_override",73,0.953125,0.770046383142471,0.716748500911056,-0.171875,"No observed crossing"
"llama","g079_closure_update",79,0.53125,0.23729419708252,0.225546332782951,-0.328125,"No observed crossing"
"llama","g079_closure_override",79,0.328125,0.275006890296936,0.259762631127797,-0.03125,"No observed crossing"
"llama","g079_exception_override",79,0.921875,0.673688143491745,0.62148160532708,-0.265625,"No observed crossing"
"llama","g080_closure_update",80,0.25,0.22684109210968,0.223595104636007,-0.03125,"No observed crossing"
"llama","g080_exception_override",80,0.28125,0.289879351854324,0.283697336737749,0.015625,"Observed crossing"
"llama","g085_closure_update",85,0.203125,0.650065809488297,0.599203402552584,0.40625,"Observed crossing"
"llama","g085_exception_override",85,0.59375,1.18773674964905,1.08874447163428,0.5625,"Observed crossing"
"gemma","g000_closure_override",0,2.03125,12.482048034668,0.527893328831373,-1.40625,"No observed crossing"
"gemma","g000_exception_override",0,2.7578125,7.89126586914062,0.376168329649818,-2.3125,"No observed crossing"
"gemma","g004_exception_override",4,0.734375,-1.10453033447266,0.0816185613365305,-0.4375,"No observed crossing"
