shuffle_id,alignment_mean,alignment_positive_fraction,path_length,endpoint_distance,detour_ratio,curvature_mean,model,state_type,init_seed
41.0,0.04305372014641762,0.5605709876543209,9.113709449768066,0.8901872634887695,10.237820625305176,2.061469554901123,qwen,trained_checkpoint,trained
42.0,0.03511621803045273,0.5551697530864197,10.500168800354004,0.8901872634887695,11.795090675354004,2.0465657711029053,qwen,trained_checkpoint,trained
43.0,0.044205259531736374,0.5837191358024691,10.5409574508667,0.8901872634887695,11.841575622558594,2.1993939876556396,qwen,trained_checkpoint,trained
44.0,0.03934434428811073,0.4714506172839507,10.29824447631836,0.8901872634887695,11.568333625793457,2.1478641033172607,qwen,trained_checkpoint,trained
45.0,0.032686080783605576,0.42631172839506176,8.594757080078125,0.8901872634887695,9.65518856048584,1.9930472373962402,qwen,trained_checkpoint,trained
46.0,0.02758256532251835,0.4529320987654321,9.35902214050293,0.8901872634887695,10.51319408416748,2.0866177082061768,qwen,trained_checkpoint,trained
47.0,0.04596864804625511,0.5914351851851851,9.805915832519531,0.8901872634887695,11.016144752502441,2.074481725692749,qwen,trained_checkpoint,trained
48.0,0.03878151252865791,0.4872685185185186,9.848902702331543,0.8901872634887695,11.063368797302246,2.065354347229004,qwen,trained_checkpoint,trained
49.0,0.044623758643865585,0.5455246913580245,10.8458833694458,0.8901872634887695,12.183586120605469,2.1862313747406006,qwen,trained_checkpoint,trained
0.0,0.04712776467204094,0.5555555555555555,8.731281280517578,0.8299576640129089,10.525484085083008,2.277665376663208,qwen,random_initialization,1701
1.0,0.04648842290043831,0.5555555555555555,7.856452941894531,0.8299576640129089,9.470220565795898,2.0826361179351807,qwen,random_initialization,1701
2.0,0.037738535553216934,0.5185185185185184,9.052203178405762,0.8299576640129089,10.91168212890625,2.131524085998535,qwen,random_initialization,1701
3.0,0.047351736575365067,0.5555555555555555,9.791158676147461,0.8299576640129089,11.802899360656738,2.2096664905548096,qwen,random_initialization,1701
4.0,0.050729501992464066,0.5555555555555555,8.271931648254395,0.8299576640129089,9.971573829650879,1.9957736730575562,qwen,random_initialization,1701
5.0,0.039265621453523636,0.5555555555555555,7.932775497436523,0.8299576640129089,9.56240177154541,2.060629367828369,qwen,random_initialization,1701
6.0,0.0290082935243845,0.48148148148148157,9.389912605285645,0.8299576640129089,11.31882381439209,2.144169569015503,qwen,random_initialization,1701
7.0,0.04927225038409233,0.5555555555555555,9.08034610748291,0.8299576640129089,10.945906639099121,2.102851629257202,qwen,random_initialization,1701
8.0,0.07124856859445572,0.6666666666666666,8.385501861572266,0.8299576640129089,10.108124732971191,1.996281623840332,qwen,random_initialization,1701
