task,gamma,metric,null_index,value
relation_graph,0.0,leave_one_out_alignment,77,-0.26362645626068115
relation_graph,0.0,leave_one_out_alignment,78,-0.26192277669906616
relation_graph,0.0,leave_one_out_alignment,79,-0.264095664024353
relation_graph,0.0,leave_one_out_alignment,80,-0.2622876465320587
relation_graph,0.0,leave_one_out_alignment,81,-0.2605971395969391
relation_graph,0.0,leave_one_out_alignment,82,-0.25976571440696716
relation_graph,0.0,leave_one_out_alignment,83,-0.26445525884628296
relation_graph,0.0,leave_one_out_alignment,84,-0.26182249188423157
relation_graph,0.0,leave_one_out_alignment,85,-0.26228103041648865
relation_graph,0.0,leave_one_out_alignment,86,-0.2632903754711151
relation_graph,0.0,leave_one_out_alignment,87,-0.2607073187828064
relation_graph,0.0,leave_one_out_alignment,88,-0.26212677359580994
relation_graph,0.0,leave_one_out_alignment,89,-0.2613053619861603
relation_graph,0.0,leave_one_out_alignment,90,-0.26188263297080994
relation_graph,0.0,leave_one_out_alignment,91,-0.2619111239910126
relation_graph,0.0,leave_one_out_alignment,92,-0.2624015510082245
relation_graph,0.0,leave_one_out_alignment,93,-0.2614610493183136
relation_graph,0.0,leave_one_out_alignment,94,-0.26236140727996826
relation_graph,0.0,leave_one_out_alignment,95,-0.2581864595413208
relation_graph,0.0,leave_one_out_alignment,96,-0.2600247263908386
relation_graph,0.0,leave_one_out_alignment,97,-0.25939691066741943
relation_graph,0.0,leave_one_out_alignment,98,-0.26155251264572144
relation_graph,0.0,leave_one_out_alignment,99,-0.2612163722515106
relation_graph,0.0,leave_one_out_alignment,100,-0.25931158661842346
relation_graph,0.0,leave_one_out_alignment,101,-0.26189714670181274
relation_graph,0.0,leave_one_out_alignment,102,-0.2611328959465027
relation_graph,0.0,leave_one_out_alignment,103,-0.26288068294525146
relation_graph,0.0,leave_one_out_alignment,104,-0.26000306010246277
relation_graph,0.0,leave_one_out_alignment,105,-0.26137781143188477
relation_graph,0.0,leave_one_out_alignment,106,-0.26080411672592163
relation_graph,0.0,leave_one_out_alignment,107,-0.26183319091796875
relation_graph,0.0,leave_one_out_alignment,108,-0.26208600401878357
relation_graph,0.0,leave_one_out_alignment,109,-0.2627040445804596
relation_graph,0.0,leave_one_out_alignment,110,-0.2619325518608093
relation_graph,0.0,leave_one_out_alignment,111,-0.26125994324684143
relation_graph,0.0,leave_one_out_alignment,112,-0.26054349541664124
relation_graph,0.0,leave_one_out_alignment,113,-0.2604598104953766
relation_graph,0.0,leave_one_out_alignment,114,-0.26145699620246887
relation_graph,0.0,leave_one_out_alignment,115,-0.2618684768676758
relation_graph,0.0,leave_one_out_alignment,116,-0.26300862431526184
relation_graph,0.0,leave_one_out_alignment,117,-0.26092660427093506
relation_graph,0.0,leave_one_out_alignment,118,-0.2619381844997406
relation_graph,0.0,leave_one_out_alignment,119,-0.26262423396110535
relation_graph,0.0,leave_one_out_alignment,120,-0.2613794207572937
relation_graph,0.0,leave_one_out_alignment,121,-0.2603311538696289
relation_graph,0.0,leave_one_out_alignment,122,-0.2591717541217804
relation_graph,0.0,leave_one_out_alignment,123,-0.26358890533447266
relation_graph,0.0,leave_one_out_alignment,124,-0.2598314881324768
relation_graph,0.0,leave_one_out_alignment,125,-0.2628350555896759
relation_graph,0.0,leave_one_out_alignment,126,-0.26295337080955505
relation_graph,0.0,leave_one_out_alignment,127,-0.26285889744758606
relation_graph,0.0,leave_one_out_alignment,128,-0.2579951584339142
relation_graph,0.0,leave_one_out_alignment,129,-0.26314058899879456
relation_graph,0.0,leave_one_out_alignment,130,-0.2621433436870575
relation_graph,0.0,leave_one_out_alignment,131,-0.2625115215778351
relation_graph,0.0,leave_one_out_alignment,132,-0.2613944709300995
relation_graph,0.0,leave_one_out_alignment,133,-0.26103296875953674
relation_graph,0.0,leave_one_out_alignment,134,-0.26123207807540894
relation_graph,0.0,leave_one_out_alignment,135,-0.2613024413585663
relation_graph,0.0,leave_one_out_alignment,136,-0.26136648654937744
relation_graph,0.0,leave_one_out_alignment,137,-0.2605118155479431
relation_graph,0.0,leave_one_out_alignment,138,-0.2612893581390381
relation_graph,0.0,leave_one_out_alignment,139,-0.2603206932544708
relation_graph,0.0,leave_one_out_alignment,140,-0.25990617275238037
relation_graph,0.0,leave_one_out_alignment,141,-0.26312094926834106
relation_graph,0.0,leave_one_out_alignment,142,-0.26168331503868103
relation_graph,0.0,leave_one_out_alignment,143,-0.26428547501564026
relation_graph,0.0,leave_one_out_alignment,144,-0.26142826676368713
relation_graph,0.0,leave_one_out_alignment,145,-0.2614175081253052
relation_graph,0.0,leave_one_out_alignment,146,-0.260003000497818
relation_graph,0.0,leave_one_out_alignment,147,-0.26132261753082275
relation_graph,0.0,leave_one_out_alignment,148,-0.262234628200531
relation_graph,0.0,leave_one_out_alignment,149,-0.259621798992157
relation_graph,0.0,leave_one_out_alignment,150,-0.2609443664550781
relation_graph,0.0,leave_one_out_alignment,151,-0.26047462224960327
relation_graph,0.0,leave_one_out_alignment,152,-0.26129573583602905
