"model","mechanism","layer_from","layer_to","depth_mid","cosine_step_mean","cosine_step_sem","participation_fraction_mean","participation_fraction_sem","n_prompts","hidden_dim","tile_width"
"Qwen","Competition",6,7,0.240740740740741,0.105418284450276,0.000239731991270297,0.320072030758225,0.000659802578174442,32,1536,0.0362962962962963
"Qwen","Competition",7,8,0.277777777777778,0.116628581541231,0.000218304608777401,0.333583735224809,0.000524192372243722,32,1536,0.0362962962962963
"Qwen","Competition",8,9,0.314814814814815,0.105435154879661,0.000327852293979704,0.331240982646365,0.000546268892669364,32,1536,0.0362962962962963
"Qwen","Competition",9,10,0.351851851851852,0.10670010032994,0.000616165582263504,0.272304319071821,0.00299392052092795,32,1536,0.0362962962962963
"Qwen","Competition",10,11,0.388888888888889,0.0676874452391938,0.000253626003286091,0.323055369529721,0.000545924009035555,32,1536,0.0362962962962963
"Qwen","Competition",11,12,0.425925925925926,0.060253078607156,0.000431336664101782,0.3252473948897,0.00114580126199173,32,1536,0.0362962962962963
"Qwen","Competition",12,13,0.462962962962963,0.0678194545573021,0.000299050670444149,0.308500538421883,0.000282922253486893,32,1536,0.0362962962962963
"Qwen","Competition",13,14,0.5,0.0692125622302526,0.000343864189549875,0.322054168584091,0.000516817747587232,32,1536,0.0362962962962963
"Qwen","Competition",14,15,0.537037037037037,0.0648712440931079,0.000294419991252372,0.298802831988457,0.000870339631589341,32,1536,0.0362962962962963
"Qwen","Competition",15,16,0.574074074074074,0.124258002724926,0.000899872527401867,0.266379551361883,0.00490957379053002,32,1536,0.0362962962962963
"Qwen","Competition",16,17,0.611111111111111,0.1089326866192,0.0011356191133762,0.321779653207022,0.00107088289131275,32,1536,0.0362962962962963
"Qwen","Competition",17,18,0.648148148148148,0.123049595796358,0.00154529348604422,0.300889422955693,0.00167496157132307,32,1536,0.0362962962962963
"Qwen","Competition",18,19,0.685185185185185,0.170636486876203,0.00196372847549357,0.258147034136769,0.00288308077918399,32,1536,0.0362962962962963
"Qwen","Competition",19,20,0.722222222222222,0.131512064200236,0.00284705972574733,0.319448646626248,0.00221298090944564,32,1536,0.0362962962962963
"Qwen","Competition",20,21,0.759259259259259,0.106998658568514,0.00212707884574097,0.185915975760494,0.00615058432182854,32,1536,0.0362962962962963
"Qwen","Competition",21,22,0.796296296296296,0.0770818916542945,0.00155923713431678,0.0956609593388421,0.00356593299250859,32,1536,0.0362962962962963
"Qwen","Competition",22,23,0.833333333333333,0.0359172292139846,0.000525883674629644,0.161372119996896,0.00356669711005867,32,1536,0.0362962962962963
"Qwen","Competition",23,24,0.87037037037037,0.0246966567060429,0.000805114970683852,0.305050432531485,0.00334317648287237,32,1536,0.0362962962962963
"Qwen","Competition",24,25,0.907407407407407,0.0272959390141913,0.000492598695377754,0.0977690321513937,0.00227229539550387,32,1536,0.0362962962962963
"Qwen","Competition",25,26,0.944444444444444,0.0166269142433019,0.000327452341468232,0.0935746723921476,0.00405508861508401,32,1536,0.0362962962962963
"Qwen","Competition",26,27,0.981481481481482,0.701350565811479,0.00250084813136308,0.00348404681591177,9.92767013978888e-06,32,1536,0.0362962962962963
"Qwen","Closure",0,1,0.0185185185185185,0.117794816894457,0.000287368310694032,0.123538720989341,0.000839185080326422,24,1536,0.0362962962962963
"Qwen","Closure",1,2,0.0555555555555556,0.141390706393877,0.000280107447885033,0.285338850994545,0.000797877255618056,24,1536,0.0362962962962963
"Qwen","Closure",2,3,0.0925925925925926,0.116796746167601,0.000264773543082307,0.321931405502804,0.000392392052404263,24,1536,0.0362962962962963
"Qwen","Closure",3,4,0.12962962962963,0.139560651684845,0.000274254863131654,0.314148405301391,0.000523487387877656,24,1536,0.0362962962962963
"Qwen","Closure",4,5,0.166666666666667,0.0907680645149299,0.000383506736080015,0.120946248330033,0.00145025449001609,24,1536,0.0362962962962963
"Qwen","Closure",5,6,0.203703703703704,0.100407421722638,0.000298488977057387,0.169218857722087,0.0020979178776898,24,1536,0.0362962962962963
"Qwen","Closure",6,7,0.240740740740741,0.107486851302622,0.000260954250335286,0.323523975052528,0.000698455333010353,24,1536,0.0362962962962963
"Qwen","Closure",7,8,0.277777777777778,0.118793019126358,0.000404032115963238,0.337296649365057,0.000299380594168284,24,1536,0.0362962962962963
"Qwen","Closure",8,9,0.314814814814815,0.106761244457385,0.000405993141009053,0.327414191251955,0.000350884415303354,24,1536,0.0362962962962963
"Qwen","Closure",9,10,0.351851851851852,0.107951421038869,0.000785794881348521,0.267332575505266,0.00252374931551949,24,1536,0.0362962962962963
"Qwen","Closure",10,11,0.388888888888889,0.0685491670434973,0.000197629062878558,0.325941297698385,0.00131301964184784,24,1536,0.0362962962962963
"Qwen","Closure",11,12,0.425925925925926,0.0610051401780312,0.000174027260282112,0.329610265319623,0.000452662663366635,24,1536,0.0362962962962963
"Qwen","Closure",12,13,0.462962962962963,0.0656343107119897,0.000301999767871225,0.301609286805729,0.0011862850836593,24,1536,0.0362962962962963
"Qwen","Closure",13,14,0.5,0.0656469118835245,0.000382045018125291,0.32088147306527,0.00111271042660939,24,1536,0.0362962962962963
"Qwen","Closure",14,15,0.537037037037037,0.0638194512023126,0.000282285441528042,0.299785469366084,0.000656314428210401,24,1536,0.0362962962962963
"Qwen","Closure",15,16,0.574074074074074,0.119083202657359,0.000711611445856302,0.24935210073537,0.00372518796967308,24,1536,0.0362962962962963
"Qwen","Closure",16,17,0.611111111111111,0.104767121733685,0.00055231874240363,0.319159273357161,0.000857102500773005,24,1536,0.0362962962962963
"Qwen","Closure",17,18,0.648148148148148,0.117182252008061,0.000841206934978275,0.295093352588712,0.00152591738899522,24,1536,0.0362962962962963
"Qwen","Closure",18,19,0.685185185185185,0.155507708732438,0.00121372737338906,0.239395209737797,0.00207502694890102,24,1536,0.0362962962962963
"Qwen","Closure",19,20,0.722222222222222,0.129498947292079,0.00142380732896742,0.299805648214791,0.00412550536820944,24,1536,0.0362962962962963
"Qwen","Closure",20,21,0.759259259259259,0.0972811479897659,0.00142347232985032,0.21854402253578,0.00555996032824453,24,1536,0.0362962962962963
"Qwen","Closure",21,22,0.796296296296296,0.0752114631157387,0.0014959432729357,0.0902706548824724,0.00370661960740772,24,1536,0.0362962962962963
"Qwen","Closure",22,23,0.833333333333333,0.0347570162919289,0.00035637777175165,0.174108521523266,0.00361018607908167,24,1536,0.0362962962962963
"Qwen","Closure",23,24,0.87037037037037,0.023709118278208,0.000895257773883595,0.295405948850631,0.00316466967288906,24,1536,0.0362962962962963
"Qwen","Closure",24,25,0.907407407407407,0.0242869898256061,0.000566669215291011,0.124903415476493,0.00350479954743226,24,1536,0.0362962962962963
"Qwen","Closure",25,26,0.944444444444444,0.0174382207651657,0.000242125237836485,0.0982485670001187,0.00344910756095714,24,1536,0.0362962962962963
"Qwen","Closure",26,27,0.981481481481482,0.691664058051705,0.00212765379034573,0.00348973809521852,7.94218498184457e-06,24,1536,0.0362962962962963
"Llama","Stable",0,1,0.0333333333333333,0.296866831756616,0.0101023642826712,0.219707918410701,0.00147000802716084,40,2048,0.0653333333333333
"Llama","Stable",1,2,0.1,0.342040807746391,0.00331651870891463,0.233879026134621,0.00885213085618872,40,2048,0.0653333333333333
"Llama","Stable",2,3,0.166666666666667,0.36593657879341,0.00162975823210044,0.299536530943083,0.00353115945037988,40,2048,0.0653333333333333
"Llama","Stable",3,4,0.233333333333333,0.394389897768284,0.00219261194217217,0.283247924319653,0.00216601599823923,40,2048,0.0653333333333333
"Llama","Stable",4,5,0.3,0.35119079031571,0.0011185112571516,0.28100279567011,0.00341404047936732,40,2048,0.0653333333333333
"Llama","Stable",5,6,0.366666666666667,0.323980644553572,0.00221832271965903,0.311726551940238,0.00344535219644945,40,2048,0.0653333333333333
"Llama","Stable",6,7,0.433333333333333,0.312952799855234,0.00173727883535088,0.278746866584793,0.00875125575965543,40,2048,0.0653333333333333
"Llama","Stable",7,8,0.5,0.336144950012752,0.00106801024662863,0.168238125882596,0.00428972526297883,40,2048,0.0653333333333333
"Llama","Stable",8,9,0.566666666666667,0.290334608102641,0.00584707463767516,0.258611589685067,0.00622425672254301,40,2048,0.0653333333333333
"Llama","Stable",9,10,0.633333333333333,0.226101665204349,0.00208594892057671,0.291078426346026,0.00286602423791285,40,2048,0.0653333333333333
"Llama","Stable",10,11,0.7,0.138040718090757,0.00188388940527723,0.201405320188935,0.00653531490142184,40,2048,0.0653333333333333
"Llama","Stable",11,12,0.766666666666667,0.0835950485041593,0.000756603802050984,0.058615404721625,0.00354893962628927,40,2048,0.0653333333333333
"Llama","Stable",12,13,0.833333333333333,0.0784642490305759,0.0013760176692542,0.0708351930124936,0.00348581175773715,40,2048,0.0653333333333333
"Llama","Stable",13,14,0.9,0.192664325174506,0.00212757902469776,0.0139314137696977,0.000342491597566764,40,2048,0.0653333333333333
"Llama","Stable",14,15,0.966666666666667,0.667525215309904,0.00477168788080011,0.0150204151607096,0.000200548904106865,40,2048,0.0653333333333333
"Llama","Competition",0,1,0.0333333333333333,0.25329674203466,0.000508682402376914,0.215456935775522,0.00053593836509746,32,2048,0.0653333333333333
"Llama","Competition",1,2,0.1,0.323991676820127,0.000980301237075817,0.210935342174151,0.00286415435915901,32,2048,0.0653333333333333
"Llama","Competition",2,3,0.166666666666667,0.380286300554351,0.00270504573815691,0.262290246981277,0.00291130486159235,32,2048,0.0653333333333333
"Llama","Competition",3,4,0.233333333333333,0.405294627374934,0.0014787013464677,0.286955908548664,0.00218097333593278,32,2048,0.0653333333333333
"Llama","Competition",4,5,0.3,0.353714941248895,0.000536643466747855,0.26780520327112,0.00309638189356262,32,2048,0.0653333333333333
"Llama","Competition",5,6,0.366666666666667,0.331956118926459,0.001027787752083,0.3233745082167,0.000924789033951609,32,2048,0.0653333333333333
"Llama","Competition",6,7,0.433333333333333,0.324892039332513,0.00122243949200338,0.304179805662468,0.000917991340547673,32,2048,0.0653333333333333
"Llama","Competition",7,8,0.5,0.33707985442799,0.00169053273681436,0.246658584364684,0.00845085238249454,32,2048,0.0653333333333333
"Llama","Competition",8,9,0.566666666666667,0.319438512494382,0.00176705094628062,0.235149673579114,0.00600497219417187,32,2048,0.0653333333333333
"Llama","Competition",9,10,0.633333333333333,0.239170997475001,0.00146078168785871,0.320751012661335,0.00166995734731932,32,2048,0.0653333333333333
"Llama","Competition",10,11,0.7,0.156800280909169,0.00216232033478628,0.167749644646088,0.00527936610423693,32,2048,0.0653333333333333
"Llama","Competition",11,12,0.766666666666667,0.089478195448679,0.00164803380636885,0.0950774793231406,0.00390359118338903,32,2048,0.0653333333333333
"Llama","Competition",12,13,0.833333333333333,0.093149914071079,0.00203180910558725,0.0859709647986174,0.00567726184426302,32,2048,0.0653333333333333
"Llama","Competition",13,14,0.9,0.187623855387439,0.00146112493318161,0.0151369644360407,0.000679283147912516,32,2048,0.0653333333333333
