"element","x","y"
"retained layer-state dimensions",0.645882352941176,0.613333333333333
"retained layer-state dimensions",0.684705882352941,0.613333333333333
"retained layer-state dimensions",0.723529411764706,0.613333333333333
"retained layer-state dimensions",0.76235294117647,0.613333333333333
"retained layer-state dimensions",0.801176470588235,0.613333333333333
"retained layer-state dimensions",0.84,0.613333333333333
"retained layer-state dimensions",0.18,0.628484848484849
"retained layer-state dimensions",0.218823529411765,0.628484848484849
"retained layer-state dimensions",0.257647058823529,0.628484848484849
"retained layer-state dimensions",0.296470588235294,0.628484848484849
"retained layer-state dimensions",0.335294117647059,0.628484848484849
"retained layer-state dimensions",0.374117647058823,0.628484848484849
"retained layer-state dimensions",0.412941176470588,0.628484848484849
"retained layer-state dimensions",0.451764705882353,0.628484848484849
"retained layer-state dimensions",0.490588235294118,0.628484848484849
"retained layer-state dimensions",0.529411764705882,0.628484848484849
"retained layer-state dimensions",0.568235294117647,0.628484848484849
"retained layer-state dimensions",0.607058823529412,0.628484848484849
"retained layer-state dimensions",0.645882352941176,0.628484848484849
"retained layer-state dimensions",0.684705882352941,0.628484848484849
"retained layer-state dimensions",0.723529411764706,0.628484848484849
"retained layer-state dimensions",0.76235294117647,0.628484848484849
"retained layer-state dimensions",0.801176470588235,0.628484848484849
"retained layer-state dimensions",0.84,0.628484848484849
"retained layer-state dimensions",0.18,0.643636363636364
"retained layer-state dimensions",0.218823529411765,0.643636363636364
"retained layer-state dimensions",0.257647058823529,0.643636363636364
"retained layer-state dimensions",0.296470588235294,0.643636363636364
"retained layer-state dimensions",0.335294117647059,0.643636363636364
"retained layer-state dimensions",0.374117647058823,0.643636363636364
"retained layer-state dimensions",0.412941176470588,0.643636363636364
"retained layer-state dimensions",0.451764705882353,0.643636363636364
"retained layer-state dimensions",0.490588235294118,0.643636363636364
"retained layer-state dimensions",0.529411764705882,0.643636363636364
"retained layer-state dimensions",0.568235294117647,0.643636363636364
"retained layer-state dimensions",0.607058823529412,0.643636363636364
"retained layer-state dimensions",0.645882352941176,0.643636363636364
"retained layer-state dimensions",0.684705882352941,0.643636363636364
"retained layer-state dimensions",0.723529411764706,0.643636363636364
"retained layer-state dimensions",0.76235294117647,0.643636363636364
"retained layer-state dimensions",0.801176470588235,0.643636363636364
"retained layer-state dimensions",0.84,0.643636363636364
"retained layer-state dimensions",0.18,0.658787878787879
"retained layer-state dimensions",0.218823529411765,0.658787878787879
"retained layer-state dimensions",0.257647058823529,0.658787878787879
"retained layer-state dimensions",0.296470588235294,0.658787878787879
"retained layer-state dimensions",0.335294117647059,0.658787878787879
"retained layer-state dimensions",0.374117647058823,0.658787878787879
"retained layer-state dimensions",0.412941176470588,0.658787878787879
"retained layer-state dimensions",0.451764705882353,0.658787878787879
"retained layer-state dimensions",0.490588235294118,0.658787878787879
"retained layer-state dimensions",0.529411764705882,0.658787878787879
"retained layer-state dimensions",0.568235294117647,0.658787878787879
"retained layer-state dimensions",0.607058823529412,0.658787878787879
"retained layer-state dimensions",0.645882352941176,0.658787878787879
"retained layer-state dimensions",0.684705882352941,0.658787878787879
"retained layer-state dimensions",0.723529411764706,0.658787878787879
"retained layer-state dimensions",0.76235294117647,0.658787878787879
"retained layer-state dimensions",0.801176470588235,0.658787878787879
"retained layer-state dimensions",0.84,0.658787878787879
"retained layer-state dimensions",0.18,0.673939393939394
"retained layer-state dimensions",0.218823529411765,0.673939393939394
"retained layer-state dimensions",0.257647058823529,0.673939393939394
"retained layer-state dimensions",0.296470588235294,0.673939393939394
"retained layer-state dimensions",0.335294117647059,0.673939393939394
"retained layer-state dimensions",0.374117647058823,0.673939393939394
"retained layer-state dimensions",0.412941176470588,0.673939393939394
"retained layer-state dimensions",0.451764705882353,0.673939393939394
"retained layer-state dimensions",0.490588235294118,0.673939393939394
"retained layer-state dimensions",0.529411764705882,0.673939393939394
"retained layer-state dimensions",0.568235294117647,0.673939393939394
"retained layer-state dimensions",0.607058823529412,0.673939393939394
"retained layer-state dimensions",0.645882352941176,0.673939393939394
"retained layer-state dimensions",0.684705882352941,0.673939393939394
"retained layer-state dimensions",0.723529411764706,0.673939393939394
"retained layer-state dimensions",0.76235294117647,0.673939393939394
"retained layer-state dimensions",0.801176470588235,0.673939393939394
"retained layer-state dimensions",0.84,0.673939393939394
"retained layer-state dimensions",0.18,0.689090909090909
"retained layer-state dimensions",0.218823529411765,0.689090909090909
"retained layer-state dimensions",0.257647058823529,0.689090909090909
"retained layer-state dimensions",0.296470588235294,0.689090909090909
"retained layer-state dimensions",0.335294117647059,0.689090909090909
"retained layer-state dimensions",0.374117647058823,0.689090909090909
"retained layer-state dimensions",0.412941176470588,0.689090909090909
"retained layer-state dimensions",0.451764705882353,0.689090909090909
"retained layer-state dimensions",0.490588235294118,0.689090909090909
"retained layer-state dimensions",0.529411764705882,0.689090909090909
"retained layer-state dimensions",0.568235294117647,0.689090909090909
"retained layer-state dimensions",0.607058823529412,0.689090909090909
"retained layer-state dimensions",0.645882352941176,0.689090909090909
"retained layer-state dimensions",0.684705882352941,0.689090909090909
"retained layer-state dimensions",0.723529411764706,0.689090909090909
"retained layer-state dimensions",0.76235294117647,0.689090909090909
"retained layer-state dimensions",0.801176470588235,0.689090909090909
"retained layer-state dimensions",0.84,0.689090909090909
"retained layer-state dimensions",0.18,0.704242424242424
"retained layer-state dimensions",0.218823529411765,0.704242424242424
"retained layer-state dimensions",0.257647058823529,0.704242424242424
"retained layer-state dimensions",0.296470588235294,0.704242424242424
"retained layer-state dimensions",0.335294117647059,0.704242424242424
