"model","condition_label","graph_id","layer","R","R_z","R_z_clip"
"Qwen","Stable positive",6,15,2.17886281013489,0.210757897095033,0.210757897095033
"Qwen","Stable positive",6,16,2.22682595252991,0.231632599383995,0.231632599383995
"Qwen","Stable positive",6,17,2.73480844497681,0.452718682745687,0.452718682745687
"Qwen","Stable positive",6,18,2.8970627784729,0.523335634381796,0.523335634381796
"Qwen","Stable positive",6,19,2.98291516304016,0.560700637572771,0.560700637572771
"Qwen","Stable positive",6,20,3.30240869522095,0.699751834689817,0.699751834689817
"Qwen","Stable positive",6,21,3.99190950393677,0.99983901395345,0.99983901395345
"Qwen","Stable positive",6,22,4.28616523742676,1.1279061197914,1.1279061197914
"Qwen","Stable positive",6,23,3.98735237121582,0.997855641219913,0.997855641219913
"Qwen","Stable positive",6,24,3.92989230155945,0.972847649923155,0.972847649923155
"Qwen","Stable positive",6,25,6.66825914382935,2.16465014108531,2.16465014108531
"Qwen","Stable positive",6,26,12.9969444274902,4.91904475703681,2.5
"Qwen","Stable positive",6,27,0.174484133720398,-0.661595457068041,-0.661595457068041
"Qwen","Stable positive",7,0,0.375481069087982,-0.307897117719175,-0.307897117719175
"Qwen","Stable positive",7,1,0.12881788611412,-0.452947731531598,-0.452947731531598
"Qwen","Stable positive",7,2,-0.329679042100906,-0.722567461833009,-0.722567461833009
"Qwen","Stable positive",7,3,0.173678085207939,-0.42656763160807,-0.42656763160807
"Qwen","Stable positive",7,4,0.00942625105381012,-0.523156141804979,-0.523156141804979
"Qwen","Stable positive",7,5,0.516690850257874,-0.224858517519237,-0.224858517519237
"Qwen","Stable positive",7,6,0.780690789222717,-0.0696130012179631,-0.0696130012179631
"Qwen","Stable positive",7,7,0.969129264354706,0.0411984954725193,0.0411984954725193
"Qwen","Stable positive",7,8,1.07874023914337,0.105655375425126,0.105655375425126
"Qwen","Stable positive",7,9,0.879337549209595,-0.0116036424065202,-0.0116036424065202
"Qwen","Stable positive",7,10,0.663069844245911,-0.138780154825524,-0.138780154825524
"Qwen","Stable positive",7,11,0.422376811504364,-0.280320013829268,-0.280320013829268
"Qwen","Stable positive",7,12,0.964033842086792,0.0382021256102496,0.0382021256102496
"Qwen","Stable positive",7,13,0.202696651220322,-0.409503225151844,-0.409503225151844
"Qwen","Stable positive",7,14,0.722638010978699,-0.10375101491052,-0.10375101491052
"Qwen","Stable positive",7,15,0.567362070083618,-0.195061239102023,-0.195061239102023
"Qwen","Stable positive",7,16,-0.0696967244148254,-0.569684513084478,-0.569684513084478
"Qwen","Stable positive",7,17,-0.49885356426239,-0.822050765279826,-0.822050765279826
"Qwen","Stable positive",7,18,-0.73440420627594,-0.960566634555689,-0.960566634555689
"Qwen","Stable positive",7,19,-0.101287335157394,-0.588261413875564,-0.588261413875564
"Qwen","Stable positive",7,20,0.121404141187668,-0.457307394126014,-0.457307394126014
"Qwen","Stable positive",7,21,0.307584226131439,-0.347823946798551,-0.347823946798551
"Qwen","Stable positive",7,22,2.50298953056335,0.943187071285341,0.943187071285341
"Qwen","Stable positive",7,23,4.34826850891113,2.02830583622429,2.02830583622429
"Qwen","Stable positive",7,24,5.51409101486206,2.71386931613137,2.5
