model,condition,layer,dimension_rank,hidden_dimension,z
qwen,clean,10,11,1395,-0.00762469678498318
qwen,clean,10,12,633,-0.3994471516149777
qwen,clean,10,13,589,-0.5197825751744324
qwen,clean,10,14,592,0.03866310013199497
qwen,clean,10,15,1076,-0.2944278590685297
qwen,clean,10,16,526,-0.2518939610906692
qwen,clean,10,17,1423,0.5893590035977951
qwen,clean,10,18,713,0.2298450475802211
qwen,clean,10,19,793,-0.5988196632813843
qwen,clean,10,20,518,-0.11380114152983072
qwen,clean,10,21,354,0.6417474284555313
qwen,clean,10,22,1248,-0.2581902475831354
qwen,clean,10,23,1161,0.10000812560947397
qwen,clean,10,24,83,0.07665184283679137
qwen,clean,10,25,1361,0.46899138830124215
qwen,clean,10,26,185,0.802961906660704
qwen,clean,10,27,735,-0.7741303150025026
qwen,clean,10,28,1360,0.14286157564366045
qwen,clean,10,29,1229,0.3471615869968518
qwen,clean,10,30,580,0.9082412461523244
qwen,clean,10,31,1301,0.22367183016309208
qwen,clean,10,32,286,-0.46560127335776563
qwen,clean,11,1,609,-0.4165859991914264
qwen,clean,11,2,1421,0.325134973692068
qwen,clean,11,3,553,-0.41333777704613184
qwen,clean,11,4,503,-0.16274672805259674
qwen,clean,11,5,1105,0.46884222873583137
qwen,clean,11,6,611,0.3900050548907309
qwen,clean,11,7,1272,-0.27515696064295053
qwen,clean,11,8,909,-0.003836956791344256
qwen,clean,11,9,1200,0.5102698305453017
qwen,clean,11,10,222,0.48419983327702043
qwen,clean,11,11,1395,0.0005744482022551944
