model_key,window,layers,k,topology_score,preserve_distance_mean,structure_distance_mean,topology_separation,mechanism_accuracy,mechanism_macro_f1,downstream_corr,downstream_r2,composite_score,rank,rank_percentile
qwen,L4_8,"[4, 5, 6, 7, 8]",500,0.7596236550935799,0.2403763449064201,0.06726895739613353,-0.17310738751028656,0.7045454545454546,0.7069281045751633,0.7202307569221696,0.47391582244810426,1.5215389167446565,28,75.89285714285714
qwen,L3_7,"[3, 4, 5, 6, 7]",500,0.7625762208324307,0.23742377916756935,0.06929496226144269,-0.16812881690612666,0.7272727272727273,0.726981900444021,0.6970981918636018,0.454081872250214,1.5205521842623138,29,75.0
qwen,L0_7,"[0, 1, 2, 3, 4, 5, 6, 7]",500,0.7298914630439242,0.2701085369560759,0.06337145969681247,-0.20673707725926344,0.7159090909090909,0.7174908377440024,0.7265552214413131,0.5010619689963707,1.5201825788702146,30,74.10714285714286
qwen,L5_8,"[5, 6, 7, 8]",500,0.763195910407532,0.23680408959246801,0.06327054555018458,-0.17353354404228344,0.7007575757575758,0.7045520310775478,0.7172301472607379,0.4710507182070186,1.5190236978743945,31,73.21428571428571
qwen,L5_12,"[5, 6, 7, 8, 9, 10, 11, 12]",100,0.8596959789034615,0.14030402109653844,0.050798308662295705,-0.08950571243424274,0.6704545454545454,0.6763035344262999,0.6850221561609577,0.41019562162390666,1.518908541921537,32,72.32142857142857
qwen,L4_6,"[4, 5, 6]",100,0.8115565429819618,0.18844345701803825,0.07719557025636634,-0.11124788676167191,0.7196969696969697,0.7222029183260085,0.6647230766745511,0.382817523966104,1.5153190674914288,33,71.42857142857143
qwen,L1_5,"[1, 2, 3, 4, 5]",500,0.7107261189084992,0.2892738810915008,0.07394837643810957,-0.21532550465339123,0.7651515151515151,0.7507918029212993,0.6973994669823735,0.459858473701648,1.513916075377188,34,70.53571428571429
qwen,L0_5,"[0, 1, 2, 3, 4, 5]",500,0.7088732526730965,0.29112674732690347,0.06581785374901479,-0.2253088935778887,0.75,0.7416848742430138,0.7064554250454221,0.47107278125531415,1.5129488657672971,35,69.64285714285714
qwen,L3_5,"[3, 4, 5]",100,0.805221535862346,0.19477846413765396,0.08209192951373066,-0.11268653462392329,0.696969696969697,0.6931305855675604,0.6923876746277775,0.4308313465119439,1.5110253760874435,36,68.75
qwen,L3_8,"[3, 4, 5, 6, 7, 8]",500,0.7655256719366609,0.23447432806333912,0.06797391649175505,-0.16650041157158407,0.7007575757575758,0.6962500207299854,0.7139425620183748,0.46154484281900054,1.5109169021670186,37,67.85714285714286
qwen,L9_11,"[9, 10, 11]",100,0.8781505181027185,0.12184948189728147,0.041072880340480296,-0.08077660155680116,0.6325757575757576,0.6370995205246203,0.7012738235661299,0.457411487899395,1.5097739343239596,38,66.96428571428571
qwen,L3_10,"[3, 4, 5, 6, 7, 8, 9, 10]",500,0.7902442761627655,0.20975572383723448,0.06484445507454303,-0.14491126876269145,0.678030303030303,0.6795554597354259,0.7087477656003562,0.4520433416782388,1.5057647183500085,39,66.07142857142857
qwen,L4_7,"[4, 5, 6, 7]",500,0.7545823241868677,0.2454176758131324,0.06871550949626785,-0.17670216631686453,0.7083333333333334,0.7062820512820512,0.7027342834069684,0.46708986777552697,1.5045042298446496,40,65.17857142857143
qwen,L6_10,"[6, 7, 8, 9, 10]",100,0.8623218758412493,0.13767812415875066,0.05127900159650432,-0.08639912256224634,0.6553030303030303,0.6599936969896274,0.6815750857045562,0.3872725748955579,1.5044159640759713,41,64.28571428571429
qwen,L6_11,"[6, 7, 8, 9, 10, 11]",500,0.8125855263453509,0.18741447365464914,0.05798019824871205,-0.1294342754059371,0.6628787878787878,0.6641938371052295,0.707092806052133,0.44939909915861487,1.5033220776985656,42,63.392857142857146
qwen,L4_6,"[4, 5, 6]",500,0.7461452128684125,0.25385478713158743,0.07310048091223026,-0.18075430621935717,0.7386363636363636,0.7445401218572618,0.66802969268093,0.4332384108501124,1.5031284580647597,43,62.5
qwen,L9_12,"[9, 10, 11, 12]",100,0.8766383984374921,0.12336160156250786,0.039390256636576484,-0.08397134492593138,0.6401515151515151,0.6454276339754477,0.6844233116369275,0.4293388980912083,1.502199955708646,44,61.607142857142854
qwen,L5_7,"[5, 6, 7]",100,0.8262463519311969,0.17375364806880314,0.06466108440825385,-0.10909256366054929,0.7121212121212122,0.713885567219494,0.6472726579008273,0.35902115087082154,1.5020497560618558,45,60.714285714285715
qwen,L8_9,"[8, 9]",100,0.8662726427254921,0.13372735727450788,0.049627372263322034,-0.08409998501118585,0.6363636363636364,0.6374560411426772,0.6951487318316176,0.4170455640667232,1.499220139742182,46,59.82142857142857
qwen,L6_10,"[6, 7, 8, 9, 10]",500,0.8096261603028865,0.19037383969711358,0.05776048983406685,-0.13261334986304674,0.6628787878787878,0.66577511453528,0.7010862932084675,0.4369932980709955,1.4983022063464415,47,58.92857142857143
qwen,L3_6,"[3, 4, 5, 6]",500,0.7580027448460144,0.24199725515398562,0.0727131432648456,-0.16928411188914003,0.7310606060606061,0.7346925204809023,0.6638852966993785,0.42121908433719035,1.4978636261672316,48,58.035714285714285
qwen,L1_6,"[1, 2, 3, 4, 5, 6]",500,0.7244466910862482,0.2755533089137518,0.07094175466804818,-0.2046115542457036,0.7234848484848485,0.7265034778282519,0.6905358675387648,0.45610499659501014,1.4958548218367373,49,57.142857142857146
qwen,L2_5,"[2, 3, 4, 5]",100,0.7714473453724263,0.2285526546275737,0.08389511484501509,-0.14465753978255863,0.696969696969697,0.688644212012569,0.6979669114962171,0.43837613867009173,1.495012571493242,50,56.25
qwen,L2_7,"[2, 3, 4, 5, 6, 7]",500,0.744964109488258,0.25503589051174197,0.07252894617502344,-0.18250694433671855,0.7159090909090909,0.7166562583289497,0.6855581129398927,0.4498670027245433,1.4942535517592028,51,55.357142857142854
qwen,L5_12,"[5, 6, 7, 8, 9, 10, 11, 12]",500,0.7998375385504708,0.20016246144952915,0.059796151579156076,-0.14036630987037307,0.6515151515151515,0.65453496977378,0.7124953791717731,0.4567086951581747,1.4935430484316778,52,54.464285714285715
qwen,L6_8,"[6, 7, 8]",500,0.7766760550727208,0.2233239449272792,0.059043967870777814,-0.16427997705650138,0.6704545454545454,0.6675357487347,0.7136682098084134,0.44323276807781675,1.4933011943708512,53,53.57142857142857
qwen,L1_8,"[1, 2, 3, 4, 5, 6, 7, 8]",500,0.739581983749792,0.260418016250208,0.06783536325405377,-0.19258265299615424,0.6742424242424242,0.6730283224400871,0.7313387973897255,0.49318493414856734,1.493284687738746,54,52.67857142857143
qwen,L6_11,"[6, 7, 8, 9, 10, 11]",100,0.8651170829002026,0.1348829170997974,0.04893797605740526,-0.08594494104239214,0.6363636363636364,0.6416481977406346,0.6840696581239374,0.4033032532879237,1.493132826141759,55,51.785714285714285
qwen,L5_7,"[5, 6, 7]",500,0.7579452447887898,0.2420547552112102,0.06377248465957942,-0.17828227055163076,0.696969696969697,0.6958417587220834,0.6963809553926089,0.4628384568720968,1.4927507936861488,56,50.892857142857146
qwen,L10_12,"[10, 11, 12]",100,0.8754243786039736,0.12457562139602642,0.038831486056069155,-0.08574413533995726,0.6439393939393939,0.6417498043818467,0.6758016619498906,0.41819232292487085,1.4917533623673767,57,50.0
qwen,L5_6,"[5, 6]",500,0.7473651994059722,0.2526348005940277,0.06762368314913993,-0.1850111174448878,0.7348484848484849,0.7386393303234614,0.6585788206875168,0.4269638946886901,1.4914571205117688,58,49.107142857142854
qwen,L9_10,"[9, 10]",500,0.8406141708834556,0.1593858291165444,0.056998252841266556,-0.10238757627527784,0.6628787878787878,0.664932278973525,0.6736197756366947,0.4137227685599829,1.4911487291299035,59,48.214285714285715
qwen,L6_8,"[6, 7, 8]",100,0.8472768524781062,0.1527231475218937,0.057307786935521327,-0.09541536058637237,0.678030303030303,0.6793579444334273,0.6546813977831686,0.3531437155703877,1.49086990001233,60,47.32142857142857
qwen,L7_10,"[7, 8, 9, 10]",100,0.8653978459618253,0.13460215403817463,0.04970218501001473,-0.08489996902815991,0.6401515151515151,0.6457751050684205,0.6768546877981108,0.3926110721518251,1.4908027572741378,61,46.42857142857143
qwen,L11_12,"[11, 12]",100,0.870664646138539,0.12933535386146097,0.03628820551773076,-0.09304714834373021,0.6477272727272727,0.6374624302275654,0.6792119407355742,0.43533925586278377,1.4886718198397813,62,45.535714285714285
qwen,L10_11,"[10, 11]",100,0.8778490686592891,0.12215093134071084,0.04108778930212201,-0.08106314203858883,0.6136363636363636,0.6132833567036997,0.6982348288826674,0.4442558956989696,1.4881390827987384,63,44.642857142857146
qwen,L2_5,"[2, 3, 4, 5]",500,0.7242221554133721,0.27577784458662796,0.08103881284215135,-0.1947390317444766,0.7348484848484849,0.7196927562025799,0.6850301724208641,0.4463217499523099,1.4858894206054414,64,43.75
qwen,L7_11,"[7, 8, 9, 10, 11]",100,0.8680177555415902,0.13198224445840984,0.04720886567059668,-0.08477337878781316,0.625,0.6330256660901822,0.6794068901603644,0.4057799783325782,1.4839549227712323,65,42.857142857142854
qwen,L4_5,"[4, 5]",100,0.7911504579019829,0.2088495420980171,0.08767510535181613,-0.12117443674620096,0.6666666666666666,0.6758975471715173,0.6832388724647444,0.4210299386222054,1.4828843646600007,66,41.964285714285715
qwen,L5_6,"[5, 6]",100,0.8153870052085453,0.18461299479145463,0.06934687883484596,-0.11526611595660867,0.7159090909090909,0.7183352947367414,0.6243792008251777,0.3504791164355884,1.481865099053808,67,41.07142857142857
qwen,L5_9,"[5, 6, 7, 8, 9]",500,0.7822203688267293,0.2177796311732707,0.06130020672752464,-0.15647942444574606,0.6628787878787878,0.6654740865267181,0.6958168594534307,0.43895643275823126,1.4801429411974838,68,40.17857142857143
qwen,L7_12,"[7, 8, 9, 10, 11, 12]",100,0.8687579418805383,0.13124205811946166,0.045064594667354935,-0.08617746345210672,0.6325757575757576,0.6400562511851989,0.6668635742847379,0.39209586745981284,1.4799148313162187,69,39.285714285714285
qwen,L4_9,"[4, 5, 6, 7, 8, 9]",500,0.776111255771972,0.223888744228028,0.06493373757418064,-0.15895500665384737,0.6628787878787878,0.6630569951823821,0.6998522942476363,0.44276876551557487,1.478383059430001,70,38.392857142857146
qwen,L6_9,"[6, 7, 8, 9]",100,0.856247750695271,0.14375224930472896,0.053180469342490155,-0.09057177996223881,0.6515151515151515,0.6549591412792507,0.6571756077084008,0.3581976808027372,1.4778316745377569,71,37.5
qwen,L7_9,"[7, 8, 9]",100,0.8585774691175917,0.14142253088240833,0.05171635492071161,-0.08970617596169672,0.6553030303030303,0.6581707414146646,0.6502501940465012,0.3631669712678589,1.4760254829277284,72,36.607142857142854
qwen,L3_5,"[3, 4, 5]",500,0.7491794202886063,0.2508205797113937,0.0783698115486606,-0.1724507681627331,0.7159090909090909,0.6997103425674854,0.6655468950120899,0.4221059134911759,1.4667955002079633,73,35.714285714285715
qwen,L10_11,"[10, 11]",500,0.8331829956095154,0.1668170043904847,0.05972849082027739,-0.1070885135702073,0.6325757575757576,0.635540251046884,0.6755322089186048,0.40727085516781725,1.4654494657771489,74,34.82142857142857
qwen,L2_6,"[2, 3, 4, 5, 6]",500,0.7373765093458955,0.26262349065410456,0.0759370718526498,-0.18668641880145476,0.7007575757575758,0.7000759220438854,0.6625139431163861,0.4263925633822552,1.4587601468011648,75,33.92857142857143
qwen,L9_11,"[9, 10, 11]",500,0.8363860396021416,0.16361396039785833,0.05776470123503241,-0.10584925916282592,0.6212121212121212,0.62112677340027,0.6778386600411238,0.4211042950893983,1.457365366554186,76,33.035714285714285
qwen,L2_9,"[2, 3, 4, 5, 6, 7, 8, 9]",500,0.7643405738783746,0.23565942612162544,0.06869187770040741,-0.16696754842121803,0.6553030303030303,0.6532158272326192,0.6873599719896165,0.43595677592666193,1.4546309263169759,77,32.142857142857146
qwen,L8_10,"[8, 9, 10]",500,0.8241868505654866,0.17581314943451348,0.058582967593241365,-0.11723018184127212,0.6098484848484849,0.6143750297152094,0.6823277078703798,0.4112429713528687,1.4494556153512148,78,31.25
qwen,L6_9,"[6, 7, 8, 9]",500,0.7961206569385837,0.20387934306141628,0.057701575731758346,-0.14617776732965793,0.6212121212121212,0.6210356250678831,0.6901078910459548,0.41832513594513576,1.4469751413603622,79,30.357142857142858
qwen,L8_11,"[8, 9, 10, 11]",500,0.8245118542429969,0.1754881457570031,0.05872238366518992,-0.11676576209181319,0.6022727272727273,0.6037235096058625,0.6864109718601565,0.4190308982653812,1.4443635122943137,80,29.464285714285715
qwen,L9_12,"[9, 10, 11, 12]",500,0.8268912149438465,0.1731087850561535,0.05709443703969846,-0.11601434801645505,0.5984848484848485,0.6020847022010164,0.6772020807951367,0.4064771534313619,1.4368750338688456,81,28.571428571428573
qwen,L4_5,"[4, 5]",500,0.7283891123917795,0.2716108876082205,0.08193279203285828,-0.18967809557536222,0.678030303030303,0.6744679089026916,0.6647629952390677,0.4275026456209893,1.4355792795092972,82,27.678571428571427
qwen,L7_8,"[7, 8]",100,0.8465171746299253,0.15348282537007477,0.057203987602186784,-0.09627883776788798,0.6287878787878788,0.6311763138159078,0.6341134845137762,0.34331906510954313,1.4354904259787098,83,26.785714285714285
qwen,L2_3,"[2, 3]",100,0.7269380003408066,0.2730619996591935,0.0827410456654209,-0.19032095399377258,0.6401515151515151,0.6382523024202184,0.7007181792220868,0.4387220173182793,1.4346453854842474,84,25.892857142857142
qwen,L0_2,"[0, 1, 2]",500,0.6563337475459678,0.3436662524540322,0.054849532791209216,-0.28881671966282296,0.6666666666666666,0.6724518944706231,0.7106300993081436,0.45595172901904235,1.4346324687959973,85,25.0
qwen,L1_3,"[1, 2, 3]",500,0.6902261049063514,0.30977389509364855,0.07035190400985925,-0.2394219910837893,0.6553030303030303,0.6511829216086222,0.710002572941697,0.44883625195108323,1.434061448093431,86,24.107142857142858
qwen,L0_3,"[0, 1, 2, 3]",100,0.7465047958461133,0.2534952041538867,0.057100758379988216,-0.1963944457738985,0.625,0.6249779051879777,0.6996209529959448,0.44443271139803464,1.4329314844701948,87,23.214285714285715
qwen,L10_12,"[10, 11, 12]",500,0.8199391930896989,0.18006080691030116,0.0581905046416133,-0.12187030226868786,0.6022727272727273,0.6051545323373962,0.6724739219391571,0.39237290005946357,1.4320723599660923,88,22.321428571428573
qwen,L7_10,"[7, 8, 9, 10]",500,0.8146853602837483,0.18531463971625167,0.058058905800468054,-0.12725573391578363,0.5946969696969697,0.5982242186065667,0.6815038574815985,0.4122427069387362,1.4311251410124064,89,21.428571428571427
qwen,L11_12,"[11, 12]",500,0.8014721038833084,0.19852789611669167,0.05813490223504904,-0.1403929938816426,0.6098484848484849,0.6130649410134016,0.6734280820022691,0.40050884463640146,1.4299304703541909,90,20.535714285714285
qwen,L3_4,"[3, 4]",100,0.80423076491892,0.19576923508108007,0.08446129887050913,-0.11130793621057095,0.6022727272727273,0.60223265154568,0.6822936860567744,0.4153403137632232,1.4297364525414236,91,19.642857142857142
qwen,L0_3,"[0, 1, 2, 3]",500,0.6906049400919336,0.30939505990806637,0.059093042639669316,-0.25030201726839707,0.6477272727272727,0.6502024291497975,0.704844941613545,0.45137877330015985,1.4293403666566409,92,18.75
