"model_key","prompt_id","graph_id","condition","mechanism","real_align_mean","shuffle_align_mean","real_detour_ratio","shuffle_detour_ratio","real_curvature_sum","shuffle_curvature_sum","real_residual_ratio_mean","shuffle_residual_ratio_mean"
"llama","g004_irrelevant","4","irrelevant","stable","0.4350358545780182","0.3423827588558197","0.9924554824829102","1.052009105682373","2.969071865081787","4.330241680145264","0.728649914264679","0.6907549500465393"
"llama","g004_paraphrase","4","paraphrase","stable","0.4601198732852936","0.3393888473510742","0.9600343704223633","1.0573047399520874","3.124607563018799","4.301699161529541","0.7174503803253174","0.6805246472358704"
"llama","g004_weak_distractor","4","weak_distractor","stable_shift","0.4816887080669403","0.33753538131713867","0.9417095184326172","1.0382447242736816","2.9665729999542236","4.394559860229492","0.7063841223716736","0.6658380627632141"
"llama","g004_competition_balanced","4","competition_balanced","competition","0.45207667350769043","0.3589878976345062","0.9894661903381348","1.0609080791473389","3.2054758071899414","4.382362365722656","0.7311474680900574","0.6879268288612366"
"llama","g004_direct_conflict","4","direct_conflict","competition","0.45665064454078674","0.3522152602672577","0.9727777242660522","1.0465068817138672","3.098226547241211","4.408468723297119","0.7218108177185059","0.6804757118225098"
"llama","g004_closure_update","4","closure_update","closure","0.45598840713500977","0.34456825256347656","0.970250129699707","1.0598371028900146","3.089705467224121","4.362425804138184","0.7252784371376038","0.683502733707428"
"llama","g004_closure_override","4","closure_override","closure","0.42936673760414124","0.3246315121650696","1.0153926610946655","1.1116827726364136","2.9312055110931396","4.362626075744629","0.7468817234039307","0.6980298161506653"
"llama","g004_exception_override","4","exception_override","closure","0.4395337998867035","0.33789774775505066","1.006571888923645","1.0884714126586914","2.931431293487549","4.358797550201416","0.7446069717407227","0.6967615485191345"
"llama","g005_clean","5","clean","stable","0.4849582016468048","0.3545309007167816","0.9321720004081726","1.0528637170791626","3.2001681327819824","4.360276222229004","0.71009761095047","0.6662120819091797"
"llama","g005_rename","5","rename","stable","0.5335986018180847","0.35768699645996094","0.9073463082313538","1.002173900604248","2.8883514404296875","4.189815521240234","0.7081502079963684","0.6738459467887878"
"llama","g005_permuted","5","permuted","stable","0.4934424161911011","0.3438596725463867","0.9323854446411133","1.038540244102478","3.0074310302734375","4.357168197631836","0.7076826691627502","0.6661235690116882"
"llama","g005_redundant","5","redundant","stable","0.4908870756626129","0.3465016782283783","0.9327912926673889","1.0496745109558105","3.0841422080993652","4.329960823059082","0.7118985056877136","0.6696320176124573"
"llama","g005_irrelevant","5","irrelevant","stable","0.4957258403301239","0.3413989543914795","0.9270431995391846","1.0456355810165405","3.0486457347869873","4.342967987060547","0.7047395706176758","0.6623556017875671"
