model,cutoff_layer,n_observed_layers,shuffle_id,permutation,r2,mae,pearson_r,spearman_rho,boundary_auroc,boundary_average_precision,boundary_brier,boundary_accuracy
qwen,22,3,45,independent_within_prompt_precurrent,0.39122854319990874,1.9137025784329027,0.6367271641374382,0.6371790295569143,0.8018886484359631,0.6742343419058465,0.1862979650858946,0.8068965517241379
qwen,22,3,46,independent_within_prompt_precurrent,0.37882701925816686,1.9454540485648393,0.6292699272188065,0.6272832009640248,0.7901501737818873,0.6631629185962167,0.19483665203034342,0.8172413793103448
qwen,22,3,47,independent_within_prompt_precurrent,0.38614535157471863,1.9270800403081443,0.6361315751963866,0.6348568655232953,0.796576824709817,0.6754347286026133,0.18626633457374694,0.8344827586206897
qwen,22,3,48,independent_within_prompt_precurrent,0.3902754484393425,1.9202092553352557,0.6358281875269237,0.6320055167416827,0.7902157518525805,0.6520939334504391,0.1941455862478591,0.8137931034482758
qwen,22,3,49,independent_within_prompt_precurrent,0.38346569466425307,1.9224528033602661,0.631705331923961,0.6293554106954764,0.7934290773165453,0.6840891040804495,0.19009578486750772,0.8379310344827586
qwen,23,4,0,independent_within_prompt_precurrent,0.40439845798061147,1.8735307391487206,0.651168520792988,0.6429813644157871,0.7780838087743458,0.6153912337649886,0.20240645508870952,0.8172413793103448
qwen,23,4,1,independent_within_prompt_precurrent,0.41429878073294624,1.84460082768838,0.6572304395978832,0.6429309307229285,0.7810348219555381,0.6579274029920293,0.19759622007673677,0.8206896551724138
qwen,23,4,2,independent_within_prompt_precurrent,0.4117167124030984,1.8568113873569865,0.6564690321049094,0.6463973245394015,0.7840514132074234,0.6377740363915432,0.20127440064051583,0.8068965517241379
qwen,23,4,3,independent_within_prompt_precurrent,0.412736298887702,1.8540104876142072,0.6548307962990144,0.6438483318969261,0.7857564430454456,0.6407763468925807,0.20310295638859005,0.8137931034482758
qwen,23,4,4,independent_within_prompt_precurrent,0.40422673581921065,1.8649496638542313,0.6490786414758276,0.6376265363242787,0.7825431175814808,0.6391222038637338,0.198142052724036,0.8103448275862069
