model,cutoff_layer,n_observed_layers,observed_layers,feature_set,n_train,n_test,n_test_graphs,n_features,r2,mae,pearson_r,spearman_rho,boundary_auroc,boundary_average_precision,boundary_brier,boundary_accuracy,r2_ci_low,r2_ci_high,mae_ci_low,mae_ci_high,pearson_r_ci_low,pearson_r_ci_high,spearman_rho_ci_low,spearman_rho_ci_high,boundary_auroc_ci_low,boundary_auroc_ci_high,boundary_average_precision_ci_low,boundary_average_precision_ci_high,boundary_brier_ci_low,boundary_brier_ci_high,boundary_accuracy_ci_low,boundary_accuracy_ci_high,order_null_r2_mean,order_null_r2_sd,order_null_r2_q95,real_r2_vs_order_null_z,real_r2_exceeds_order_null_q95
llama,12,1,12,ordered_R_dR_history,670,290,29,14,0.06888351164933693,0.7439228293851894,0.2640014033104094,0.1766973717945252,0.5664498387011476,0.7519514193261588,0.24373862089895118,0.6793103448275862,-0.06462251919044429,0.14162625811162488,0.6353085009540791,0.8542837338028523,0.10344828116196059,0.42848347796077185,0.02018525248331414,0.3548284623316803,0.46345829584894355,0.6676388920247626,0.6439064057817131,0.8501317120124906,0.2292867079324989,0.25867381039481574,0.5655172413793104,0.7827586206896552,,,,,False
llama,13,2,12;13,current_R,670,290,29,1,0.06671741739436299,0.7482644372200984,0.2614760530823796,0.23073555400977677,0.6232481886932149,0.7107884958999857,0.23731887134620716,0.6724137931034483,-0.10808529852258332,0.1570500169000043,0.6434110269337304,0.858015922350539,0.011337587461700138,0.4955898694850184,-0.04252676666783926,0.5075487714617161,0.4702036901289112,0.7720471637016575,0.5884101074429491,0.8592027249970307,0.21446562061967964,0.263394237044788,0.5654310344827587,0.7862068965517242,,,,,False
llama,13,2,12;13,ordered_R_history,670,290,29,7,0.41161054203476133,0.560961028442705,0.6579630601060034,0.7252353807967904,0.8789465333967952,0.9324838719300771,0.16259024164653033,0.8103448275862069,0.24637885732797485,0.5074131078002656,0.47991161924347514,0.6539544641677646,0.5721209976074454,0.7289569421361682,0.6035340661499872,0.807025533371898,0.8165904334332057,0.9314756178760873,0.8644863666240196,0.9714627795761582,0.12566105814074321,0.20230599137468716,0.7310344827586207,0.8793103448275862,,,,,False
llama,13,2,12;13,ordered_R_dR_history,670,290,29,14,0.4871898686031737,0.5373125624386937,0.714288917385965,0.7548908648303909,0.8883071553228621,0.9398455212844908,0.15731588869989702,0.8103448275862069,0.3157495810875645,0.5797995633269561,0.4681789277842895,0.608254809169849,0.6269483844205996,0.7797558688759904,0.6245519740435558,0.8245270026930267,0.8186006390530312,0.9448702570435193,0.8751298454206577,0.9766064402270682,0.1138811336161225,0.20111454446216226,0.7275862068965517,0.8862068965517241,,,,,False
llama,14,3,12;13;14,current_R,670,290,29,1,-0.0721626051883264,0.784447887883871,0.09794965484095296,0.0964989681715897,0.5496324501560103,0.7876712168061937,0.28538743920430304,0.4862068965517241,-0.421283557772697,0.128511090945682,0.6365307725083458,0.9467466634460114,-0.18257555574627277,0.4093710567108291,-0.19851316196843494,0.4788460720450784,0.38633467370309477,0.7342635255648038,0.6586673670442776,0.8894549584602118,0.21851255768877628,0.3583646518364772,0.3723275862068966,0.6000862068965517,,,,,False
llama,14,3,12;13;14,ordered_R_history,670,290,29,7,0.39342699243707,0.5718799750875853,0.6390568107970003,0.6578774605251494,0.8373261409910625,0.9077033640268878,0.18062993769524108,0.8103448275862069,0.20758964278524114,0.5060609400044472,0.47919194346759336,0.6705064197489315,0.5333393143409672,0.7383605934170256,0.5039102426545449,0.7776714173218348,0.7544282186627662,0.9027620857176094,0.8269128298736784,0.9587292995868583,0.14542528546406758,0.21937327322602093,0.7206896551724138,0.8862068965517241,0.29323123781178956,0.005086061469827566,0.30033722077496344,19.700067570885537,True
llama,14,3,12;13;14,ordered_R_dR_history,670,290,29,14,0.49768500558274664,0.5167686928421231,0.7214142545480549,0.740980423207814,0.8630281876355175,0.9205436775619664,0.17366189381385888,0.8,0.3141767523286601,0.6299659461688247,0.4057935213226732,0.6426304487703312,0.6307840147866834,0.8055270625280516,0.6267107034011018,0.8212080320148323,0.7768854867629621,0.9287263975517934,0.8354722994280505,0.9725565234523208,0.13114790114520966,0.2209880405898638,0.7206896551724138,0.8724137931034482,,,,,False
llama,15,4,12;13;14;15,current_R,670,290,29,1,0.9997565246771267,0.011802396926299174,0.9999774492018184,0.9999450142387984,1.0,1.0,0.02557071305514702,0.996551724137931,0.9997191077044484,0.9997702339738054,0.010335214136470745,0.013512790487759281,0.9999678298635893,0.9999831720953204,0.9998503910382378,0.9999492003127247,0.9999999999999999,1.0,0.9999999999999998,1.0000000000000002,0.016073201330797,0.03639656795298687,0.9896551724137931,1.0,,,,,False
llama,15,4,12;13;14;15,ordered_R_history,670,290,29,7,0.9998859735515284,0.008128969355584463,0.9999576521904775,0.9999073725704825,0.9988894177375852,0.999445805598674,0.020741355033487965,0.993103448275862,0.9998461475065681,0.9999085949292856,0.007389983690407817,0.008916132717766702,0.9999395303928763,0.9999707140600624,0.9997629223353021,0.9999247303425923,0.9969615306896106,1.0,0.998261372541477,1.0,0.011841283084464598,0.030629933092659652,0.9827586206896551,1.0,0.9990965536468843,6.556543643904946e-05,0.9991872379188528,12.040183784606558,True
llama,15,4,12;13;14;15,ordered_R_dR_history,670,290,29,14,0.9998759765914743,0.008465721277076056,0.9999551352103575,0.9998977776354215,0.9985192236501137,0.9992568038210824,0.022172862116517502,0.996551724137931,0.9998294174425424,0.9999047091743858,0.0072672195798104515,0.009690230326749883,0.9999377859726847,0.9999684786234202,0.999734761050121,0.9999242262313859,0.9957557123191028,0.9998947368421052,0.9975336035014691,0.9999461015304091,0.012487088029238648,0.03257862782119565,0.9896551724137931,1.0,,,,,False
gemma,18,1,18,current_R,670,290,29,1,0.5452220136866378,0.9985811607201368,0.7736752293474812,0.6806670167671497,0.9139417360285375,0.9756562486063671,0.14024730662006163,0.9137931034482759,0.46070467327267745,0.6035599335226981,0.9102845520917984,1.0994583280116306,0.7179017604838994,0.8462303412343917,0.6047680715303605,0.7640977696224108,0.8886187337458524,0.9491796398046398,0.9658518174673214,0.9863118484883217,0.10757599363881022,0.17397545081723798,0.8827586206896552,0.9448275862068966,,,,,False
gemma,18,1,18,ordered_R_history,670,290,29,7,0.5458895241313706,0.9976834065553617,0.7736752293474813,0.6806670167671497,0.9139417360285375,0.9756562486063671,0.14145077672967138,0.9103448275862069,0.4609579639545421,0.608085885084745,0.911264440724897,1.090870017579249,0.7173252770890183,0.8452147206241974,0.6089969189007077,0.7632652436463838,0.8886592592255629,0.9478031157528108,0.9658178910833691,0.9860924321782412,0.10820859325279786,0.17515889802901036,0.8793103448275862,0.9413793103448276,,,,,False
gemma,18,1,18,ordered_R_dR_history,670,290,29,14,0.7230732108876603,0.7106316549205668,0.8596970031494795,0.7593145516578508,0.9819411414982163,0.995486936154987,0.059341583563950986,0.9413793103448276,0.6352857396752056,0.8140782817814771,0.5644049688815745,0.8632140474359936,0.8189224927851929,0.9069780554102979,0.7006217637489222,0.8303060009416589,0.9663724296536796,0.9941269998921599,0.9912789565248052,0.9985973523893418,0.03586505180701227,0.08614317830904411,0.9103448275862069,0.9656034482758621,,,,,False
gemma,19,2,18;19,current_R,670,290,29,1,0.5370880428344256,0.9976753247881902,0.773892220827229,0.7314821272960461,0.9196640903686089,0.9766738612081678,0.1436157303548466,0.896551724137931,0.4344271492709765,0.6257942087894359,0.9079677687485707,1.1029888782649666,0.714017425726743,0.8475778423851555,0.6572750151138289,0.8083588091757372,0.8835462785181838,0.9618011889486777,0.9650263941999141,0.9899357322555764,0.11199080102651741,0.17929549179374898,0.8689655172413793,0.9242241379310344,,,,,False
gemma,19,2,18;19,ordered_R_history,670,290,29,7,0.5594440225434738,0.9774581574196508,0.7865779130776402,0.7185595788176977,0.9122324613555292,0.9753410751115147,0.14482213490344456,0.903448275862069,0.47369849195969355,0.6315137085517417,0.8907247864296247,1.0734705964953082,0.724455985884496,0.859741876942628,0.6416895980603375,0.79862524579764,0.8845380114718125,0.9428068365432484,0.966255258985965,0.9849299377016253,0.10995112318902414,0.1824895916959681,0.8724137931034482,0.9310344827586207,,,,,False
gemma,19,2,18;19,ordered_R_dR_history,670,290,29,14,0.7996943172944491,0.603757845933049,0.9005148454442314,0.8137042929364645,0.9933115338882283,0.9983603522479663,0.036631202768590825,0.9793103448275862,0.7212251159753903,0.864433635444101,0.49852011681947417,0.7270190589144612,0.8675076189525595,0.9323474402749964,0.7602688734320222,0.8643879749148481,0.9859944286678399,0.9989983652314682,0.9964581198089957,0.9997451489908538,0.019730246477238162,0.05578597871235524,0.9586206896551724,0.996551724137931,,,,,False
