control,layer,mean_alpha,mean_beta,mean_policy_conf,most_common_action,batch_size,mean_norm_ratio,min_norm_ratio,max_norm_ratio,mean_delta_norm_ratio,all_finite,model,random_seed,mean_operator_component_norm,mean_random_operator_component_norm,mean_precursor_component_norm,mean_random_precursor_component_norm,operator_component_norm_abs_error,precursor_component_norm_abs_error,mean_structured_total_ratio,mean_random_total_ratio,mean_total_norm_ratio
policy_boundary_guarded,18,0.5,0.60009765625,0.6502663956615357,a0.0_b0.0_confidence_gate_gate,4,0.9134520888328552,0.8268985748291016,1.0,0.3031358122825622,True,qwen,,,,,,,,,,
policy_boundary_guarded,19,0.0,0.0,0.884265261533019,a0.0_b0.0,4,1.0,1.0,1.0,0.0,True,qwen,,,,,,,,,,
policy_boundary_guarded,15,0.0,0.0,0.949523247487606,a0.0_b0.0_confidence_gate_gate,4,1.0,1.0,1.0,0.0,True,qwen,,,,,,,,,,
policy_boundary_guarded,16,0.0,0.0,0.9802531676855506,a0.0_b0.0_confidence_gate_gate,4,1.0,1.0,1.0,0.0,True,qwen,,,,,,,,,,
policy_boundary_guarded,17,0.0,0.0,0.9791949683329104,a0.0_b0.0_confidence_gate_gate,4,1.0,1.0,1.0,0.0,True,qwen,,,,,,,,,,
policy_boundary_guarded,18,0.0,0.0,0.9606455777042296,a0.0_b0.0_confidence_gate_gate,4,1.0,1.0,1.0,0.0,True,qwen,,,,,,,,,,
policy_boundary_guarded,19,0.0,0.0,0.8228868143555441,a0.0_b0.0_confidence_gate_gate,4,1.0,1.0,1.0,0.0,True,qwen,,,,,,,,,,
policy_boundary_guarded,15,0.6749267578125,0.6749267578125,0.347947843868697,a0.9_b0.9,4,1.0006585121154783,0.9911532998085022,1.0118129253387451,0.3244783282279968,True,qwen,,,,,,,,,,
policy_boundary_guarded,16,0.5999755859375,0.5999755859375,0.4188408855400011,a0.9_b0.9,4,0.8618492484092712,0.7977191805839539,1.0,0.3446135818958282,True,qwen,,,,,,,,,,
policy_boundary_guarded,17,0.699951171875,0.75,0.4241075045021914,a0.9_b0.9,4,0.9474825859069824,0.9259514212608336,1.0,0.3762170076370239,True,qwen,,,,,,,,,,
policy_boundary_guarded,18,0.6749267578125,0.6749267578125,0.4400375754658885,a0.9_b0.9,4,0.8694447875022888,0.8203854560852051,1.0,0.4044646918773651,True,qwen,,,,,,,,,,
policy_boundary_guarded,19,0.6749267578125,0.6749267578125,0.4625718759657267,a0.9_b0.9,4,1.012508988380432,1.0,1.0207257270812988,0.422346830368042,True,qwen,,,,,,,,,,
policy_boundary_guarded,15,0.0,0.0,0.9848798427328967,a0.0_b0.0_confidence_gate_gate,4,1.0,1.0,1.0,0.0,True,qwen,,,,,,,,,,
policy_boundary_guarded,16,0.0,0.0,0.9577295045881956,a0.0_b0.0_confidence_gate_gate,4,1.0,1.0,1.0,0.0,True,qwen,,,,,,,,,,
policy_boundary_guarded,17,0.0,0.0,0.9592623529423648,a0.0_b0.0_confidence_gate_gate,4,1.0,1.0,1.0,0.0,True,qwen,,,,,,,,,,
policy_boundary_guarded,18,0.0,0.0,0.96184965369755,a0.0_b0.0_confidence_gate_gate,4,1.0,1.0,1.0,0.0,True,qwen,,,,,,,,,,
policy_boundary_guarded,19,0.0,0.0,0.8466017119972353,a0.0_b0.0_confidence_gate_gate,4,1.0,1.0,1.0,0.0,True,qwen,,,,,,,,,,
policy_boundary_guarded,15,0.1500244140625,0.1500244140625,0.6029319565225756,a0.0_b0.0_confidence_gate_gate,4,0.9968423843383788,0.987369418144226,1.0,0.0711052045226097,True,qwen,,,,,,,,,,
policy_boundary_guarded,16,0.1500244140625,0.1500244140625,0.5035833289675031,a0.0_b0.0_confidence_gate_gate,4,0.9681604504585266,0.8726417422294617,1.0,0.0808944329619407,True,qwen,,,,,,,,,,
policy_boundary_guarded,17,0.1500244140625,0.1500244140625,0.7442580002123451,a0.0_b0.0_confidence_gate_gate,4,0.984912633895874,0.9396505951881408,1.0,0.0766180828213691,True,qwen,,,,,,,,,,
policy_boundary_guarded,18,0.1500244140625,0.1500244140625,0.7014371196451632,a0.0_b0.0_confidence_gate_gate,4,0.9664855003356934,0.8659420609474182,1.0,0.0864024236798286,True,qwen,,,,,,,,,,
policy_boundary_guarded,19,0.1500244140625,0.1500244140625,0.5399228045608077,a0.0_b0.0_confidence_gate_gate,4,0.9988196492195128,0.9952785968780518,1.0,0.0881995484232902,True,qwen,,,,,,,,,,
policy_boundary_guarded,15,0.449951171875,0.449951171875,0.7767525621178213,a0.9_b0.9,4,1.002088189125061,1.0,1.006663799285889,0.2192337065935135,True,qwen,,,,,,,,,,
policy_boundary_guarded,16,0.449951171875,0.449951171875,0.7652212430893304,a0.9_b0.9,4,0.8982282876968384,0.79482102394104,1.0,0.2600038051605224,True,qwen,,,,,,,,,,
policy_boundary_guarded,17,0.449951171875,0.449951171875,0.7776254675333383,a0.9_b0.9,4,0.960318088531494,0.9175497889518738,1.0,0.2464446425437927,True,qwen,,,,,,,,,,
policy_boundary_guarded,18,0.449951171875,0.449951171875,0.7844250990463154,a0.9_b0.9,4,0.9138911962509156,0.8259707689285278,1.0,0.2675029039382934,True,qwen,,,,,,,,,,
policy_boundary_guarded,19,0.449951171875,0.449951171875,0.7735238887733535,a0.9_b0.9,4,1.0150939226150513,1.0,1.0326420068740845,0.2852325439453125,True,qwen,,,,,,,,,,
