model,control,random_seed,closure_n,strict_conflict_to_clean,closure_crossing_rate,nonclosure_n,nonclosure_top1_changes,nonclosure_change_rate,specificity_count,specificity_rate,closure_mean_margin_shift
llama,random_direction_024,2026082326,87,1,0.01149425287356321,203,2,0.00985221674876847,-1,0.00164203612479474,0.9359846443965516
llama,random_direction_025,2026082327,87,29,0.3333333333333333,203,2,0.00985221674876847,27,0.32348111658456485,4.130522629310345
llama,random_direction_026,2026082328,87,0,0,203,2,0.00985221674876847,-2,-0.00985221674876847,-0.5711655890804598
llama,random_direction_027,2026082329,87,0,0,203,2,0.00985221674876847,-2,-0.00985221674876847,0.3653690732758621
llama,random_direction_028,2026082330,87,0,0,203,2,0.00985221674876847,-2,-0.00985221674876847,-1.7641882183908046
llama,random_direction_029,2026082331,87,8,0.09195402298850576,203,0,0,8,0.09195402298850576,0.7192887931034483
llama,random_direction_030,2026082332,87,0,0,203,2,0.00985221674876847,-2,-0.00985221674876847,-0.05311602011494253
llama,random_direction_031,2026082333,87,1,0.01149425287356321,203,2,0.00985221674876847,-1,0.00164203612479474,-1.0049838362068966
llama,random_direction_032,2026082334,87,1,0.01149425287356321,203,1,0.00492610837438423,0,0.00656814449917898,-1.309912670617816
llama,random_direction_033,2026082335,87,1,0.01149425287356321,203,2,0.00985221674876847,-1,0.00164203612479474,-1.0923132183908046
llama,random_direction_034,2026082336,87,0,0,203,2,0.00985221674876847,-2,-0.00985221674876847,1.0265790566630748
llama,random_direction_035,2026082337,87,5,0.05747126436781609,203,2,0.00985221674876847,3,0.04761904761904761,1.9302038433908049
llama,random_direction_036,2026082338,87,0,0,203,0,0,0,0,0.7752587329382183
llama,random_direction_037,2026082339,87,1,0.01149425287356321,203,1,0.00492610837438423,0,0.00656814449917898,-0.4516882183908046
llama,random_direction_038,2026082340,87,0,0,203,2,0.00985221674876847,-2,-0.00985221674876847,0.5673042385057471
llama,random_direction_039,2026082341,87,2,0.02298850574712643,203,2,0.00985221674876847,0,0.01313628899835796,1.9951508620689655
llama,random_direction_040,2026082342,87,7,0.08045977011494253,203,2,0.00985221674876847,5,0.07060755336617405,2.8229391163793105
llama,random_direction_041,2026082343,87,3,0.03448275862068965,203,2,0.00985221674876847,1,0.02463054187192118,0.7626167385057471
llama,random_direction_042,2026082344,87,2,0.02298850574712643,203,2,0.00985221674876847,0,0.01313628899835796,1.200610632183908
llama,random_direction_043,2026082345,87,0,0,203,1,0.00492610837438423,-1,-0.00492610837438423,-1.027500897988506
llama,random_direction_044,2026082346,87,0,0,203,0,0,0,0,-3.829718929597701
llama,random_direction_045,2026082347,87,0,0,203,2,0.00985221674876847,-2,-0.00985221674876847,1.1621318247126438
llama,random_direction_046,2026082348,87,0,0,203,1,0.00492610837438423,-1,-0.00492610837438423,2.21246408045977
llama,random_direction_047,2026082349,87,7,0.08045977011494253,203,0,0,7,0.08045977011494253,2.0779005028735633
llama,random_direction_048,2026082350,87,3,0.03448275862068965,203,2,0.00985221674876847,1,0.02463054187192118,5.803116020114943
llama,random_direction_049,2026082351,87,4,0.04597701149425287,203,2,0.00985221674876847,2,0.0361247947454844,1.241065014367816
llama,structured_guarded,NA,87,13,0.14942528735632185,203,2,0.00985221674876847,11,0.1395730706075534,0.5958153735632183
gemma,random_direction_000,2026083302,87,0,0,203,1,0.00492610837438423,-1,-0.00492610837438423,0.12809665723778735
gemma,random_direction_001,2026083303,87,0,0,203,0,0,0,0,2.9006628277658044
gemma,random_direction_002,2026083304,87,0,0,203,1,0.00492610837438423,-1,-0.00492610837438423,0.4625515115672144
gemma,random_direction_003,2026083305,87,0,0,203,0,0,0,0,1.0611530172413792
gemma,random_direction_004,2026083306,87,0,0,203,0,0,0,0,1.4865301724137931
gemma,random_direction_005,2026083307,87,0,0,203,0,0,0,0,1.2279880567528736
gemma,random_direction_006,2026083308,87,0,0,203,1,0.00492610837438423,-1,-0.00492610837438423,-0.27209051724137934
gemma,random_direction_007,2026083309,87,0,0,203,0,0,0,0,0.783845139645982
gemma,random_direction_008,2026083310,87,4,0.04597701149425287,203,0,0,4,0.04597701149425287,0.6117097701149425
gemma,random_direction_009,2026083311,87,0,0,203,1,0.00492610837438423,-1,-0.00492610837438423,3.130096084770115
gemma,random_direction_010,2026083312,87,0,0,203,0,0,0,0,4.258126795977011
gemma,random_direction_011,2026083313,87,0,0,203,0,0,0,0,1.6502896012931034
gemma,random_direction_012,2026083314,87,0,0,203,0,0,0,0,1.0356501436781609
gemma,random_direction_013,2026083315,87,0,0,203,0,0,0,0,1.2592492816091954
gemma,random_direction_014,2026083316,87,0,0,203,0,0,0,0,0.2473284841954023
gemma,random_direction_015,2026083317,87,0,0,203,0,0,0,0,1.202496408045977
gemma,random_direction_016,2026083318,87,0,0,203,0,0,0,0,2.3451867816091956
gemma,random_direction_017,2026083319,87,0,0,203,0,0,0,0,3.041966931573276
gemma,random_direction_018,2026083320,87,0,0,203,0,0,0,0,2.91424630702227
gemma,random_direction_019,2026083321,87,0,0,203,1,0.00492610837438423,-1,-0.00492610837438423,-0.4063590915723779
gemma,random_direction_020,2026083322,87,0,0,203,0,0,0,0,3.0791127873563218
gemma,random_direction_021,2026083323,87,0,0,203,0,0,0,0,2.1109913793103448
gemma,random_direction_022,2026083324,87,0,0,203,0,0,0,0,2.2430630387931036
gemma,random_direction_023,2026083325,87,4,0.04597701149425287,203,0,0,4,0.04597701149425287,3.4110317887931036
gemma,random_direction_024,2026083326,87,0,0,203,0,0,0,0,0.6791262571839081
gemma,random_direction_025,2026083327,87,0,0,203,1,0.00492610837438423,-1,-0.00492610837438423,2.712671740301724
gemma,random_direction_026,2026083328,87,0,0,203,1,0.00492610837438423,-1,-0.00492610837438423,2.7440901131465516
gemma,random_direction_027,2026083329,87,0,0,203,0,0,0,0,1.2332767398878075
gemma,random_direction_028,2026083330,87,0,0,203,0,0,0,0,2.077631106321839
gemma,random_direction_029,2026083331,87,0,0,203,0,0,0,0,1.7084904813218391
gemma,random_direction_030,2026083332,87,0,0,203,0,0,0,0,2.9631263469827585
gemma,random_direction_031,2026083333,87,0,0,203,0,0,0,0,3.1623563218390807
gemma,random_direction_032,2026083334,87,2,0.02298850574712643,203,1,0.00492610837438423,1,0.0180623973727422,1.4565822557471264
gemma,random_direction_033,2026083335,87,0,0,203,1,0.00492610837438423,-1,-0.00492610837438423,0.25070519282900056
gemma,random_direction_034,2026083336,87,0,0,203,0,0,0,0,0.25139188218390807
gemma,random_direction_035,2026083337,87,0,0,203,0,0,0,0,0.6444975754310345
gemma,random_direction_036,2026083338,87,0,0,203,1,0.00492610837438423,-1,-0.00492610837438423,2.761853448275862
gemma,random_direction_037,2026083339,87,0,0,203,0,0,0,0,2.7828663793103448
