model,shuffle_id,macro_f1
gemma,116,0.24031869078380705
gemma,117,0.3376366572064671
gemma,118,0.25656167979002625
gemma,119,0.3376366572064671
gemma,120,0.3236520241171404
gemma,121,0.22150387596899224
gemma,122,0.334318690783807
gemma,123,0.24125665254697512
gemma,124,0.24031869078380705
gemma,125,0.2738095238095238
gemma,126,0.20931758530183728
gemma,127,0.22150387596899224
gemma,128,0.3236520241171404
gemma,129,0.22150387596899224
gemma,130,0.3236520241171404
gemma,131,0.20298535745047372
gemma,132,0.25656167979002625
gemma,133,0.22150387596899224
gemma,134,0.32996632996632996
gemma,135,0.22150387596899224
gemma,136,0.24031869078380705
gemma,137,0.22150387596899224
gemma,138,0.22150387596899224
gemma,139,0.22229512977544474
gemma,140,0.3386243386243386
gemma,141,0.3236520241171404
gemma,142,0.25603072983354674
gemma,143,0.3236520241171404
gemma,144,0.3376366572064671
gemma,145,0.2738095238095238
gemma,146,0.24031869078380705
gemma,147,0.25656167979002625
gemma,148,0.20931758530183728
gemma,149,0.20298535745047372
gemma,150,0.30960648148148145
gemma,151,0.20705922938494478
gemma,152,0.22229512977544474
gemma,153,0.3376366572064671
gemma,154,0.22627314814814814
gemma,155,0.25656167979002625
gemma,156,0.20298535745047372
gemma,157,0.3376366572064671
gemma,158,0.30562846310877806
gemma,159,0.334318690783807
gemma,160,0.3236520241171404
gemma,161,0.20931758530183728
gemma,162,0.3236520241171404
gemma,163,0.22150387596899224
gemma,164,0.2552083333333333
gemma,165,0.30562846310877806
gemma,166,0.25656167979002625
gemma,167,0.22627314814814814
gemma,168,0.2552083333333333
gemma,169,0.1898148148148148
gemma,170,0.3236520241171404
gemma,171,0.3236520241171404
gemma,172,0.2695038759689922
gemma,173,0.3236520241171404
gemma,174,0.30960648148148145
gemma,175,0.25656167979002625
gemma,176,0.2695038759689922
gemma,177,0.22150387596899224
gemma,178,0.334318690783807
gemma,179,0.20298535745047372
gemma,180,0.30562846310877806
gemma,181,0.2695038759689922
gemma,182,0.20931758530183728
gemma,183,0.20362224394482462
gemma,184,0.22229512977544474
gemma,185,0.20931758530183728
gemma,186,0.22150387596899224
gemma,187,0.20298535745047372
gemma,188,0.22229512977544474
gemma,189,0.2695038759689922
gemma,190,0.1898148148148148
gemma,191,0.20705922938494478
gemma,192,0.20298535745047372
gemma,193,0.24031869078380705
gemma,194,0.2695038759689922
gemma,195,0.22229512977544474
gemma,196,0.3236520241171404
gemma,197,0.3236520241171404
gemma,198,0.2695038759689922
gemma,199,0.22229512977544474
