task,model,horizon,null_index,balanced_accuracy
lexical_category,qwen,0.5,55,0.4700617283950617
lexical_category,qwen,0.5,56,0.4941358024691358
lexical_category,qwen,0.5,57,0.55
lexical_category,qwen,0.5,58,0.5333333333333333
lexical_category,qwen,0.5,59,0.5024691358024691
lexical_category,qwen,0.5,60,0.48271604938271606
lexical_category,qwen,0.5,61,0.5114197530864197
lexical_category,qwen,0.5,62,0.5404320987654321
lexical_category,qwen,0.5,63,0.5274691358024691
lexical_category,qwen,0.5,64,0.4858024691358025
lexical_category,qwen,0.5,65,0.49537037037037035
lexical_category,qwen,0.5,66,0.5472222222222223
lexical_category,qwen,0.5,67,0.5262345679012346
lexical_category,qwen,0.5,68,0.5046296296296297
lexical_category,qwen,0.5,69,0.48796296296296293
lexical_category,qwen,0.5,70,0.44166666666666665
lexical_category,qwen,0.5,71,0.4848765432098766
lexical_category,qwen,0.5,72,0.528395061728395
lexical_category,qwen,0.5,73,0.5055555555555555
lexical_category,qwen,0.5,74,0.5067901234567902
lexical_category,qwen,0.5,75,0.5114197530864197
lexical_category,qwen,0.5,76,0.5040123456790124
lexical_category,qwen,0.5,77,0.5327160493827161
lexical_category,qwen,0.5,78,0.4354938271604938
lexical_category,qwen,0.5,79,0.5669753086419753
lexical_category,qwen,0.5,80,0.5669753086419753
lexical_category,qwen,0.5,81,0.4188271604938272
lexical_category,qwen,0.5,82,0.5077160493827161
lexical_category,qwen,0.5,83,0.48024691358024696
lexical_category,qwen,0.5,84,0.5064814814814815
lexical_category,qwen,0.5,85,0.4824074074074074
lexical_category,qwen,0.5,86,0.5953703703703703
lexical_category,qwen,0.5,87,0.466358024691358
lexical_category,qwen,0.5,88,0.4527777777777778
lexical_category,qwen,0.5,89,0.5027777777777778
lexical_category,qwen,0.5,90,0.5046296296296297
lexical_category,qwen,0.5,91,0.4842592592592593
lexical_category,qwen,0.5,92,0.4981481481481481
lexical_category,qwen,0.5,93,0.5200617283950617
lexical_category,qwen,0.5,94,0.4901234567901235
lexical_category,qwen,0.5,95,0.4682098765432099
lexical_category,qwen,0.5,96,0.5280864197530863
lexical_category,qwen,0.5,97,0.542283950617284
lexical_category,qwen,0.5,98,0.49907407407407406
lexical_category,qwen,0.5,99,0.4580246913580247
lexical_category,qwen,0.5,100,0.5067901234567902
lexical_category,qwen,0.5,101,0.4876543209876544
lexical_category,qwen,0.5,102,0.5061728395061729
lexical_category,qwen,0.5,103,0.47129629629629627
lexical_category,qwen,0.5,104,0.5055555555555555
