analysis,revision,null_index,final_accuracy,final_macro_f1,evidence_first_mean,evidence_final_mean,evidence_progress_mean,native_mean_prompt_spearman,shuffle_mean,shuffle_q95,shuffle_q99,real_minus_shuffle_mean,empirical_p_upper
final_metric_transfer,step0,16,0.11320754716981132,0.07792207792207792,-0.0034149012953721826,-0.000169141194569191,0.003245760100802992,0.11677002243039981,0.04492477219749948,0.1284470246734397,0.1559440559440559,0.07184525023290034,0.12
final_metric_transfer,step143000,16,0.07547169811320754,0.09523809523809523,-0.0008343816083671081,-0.0021287952305464246,-0.001294413622179317,-0.2597968069666183,-0.07997910227755853,0.020609579100145128,0.0402981923736639,-0.17981770468905975,1.0
within_checkpoint,step0,17,0.33962264150943394,0.2853920515574651,34591.192468311245,34591.284736633075,0.09226832181579474,0.16506135374059902,0.06968484155448133,0.12374983507058977,0.14500593745876764,0.09537651218611769,0.01
within_checkpoint,step143000,17,0.3584905660377358,0.3028571428571429,34591.1958479854,34591.201571295,0.005723309600953444,0.24950521176936274,0.03679491844157367,0.15830584509829784,0.18609051326032452,0.21271029332778907,0.01
final_metric_transfer,step0,17,0.07547169811320754,0.03686635944700461,34591.194352866245,34591.19434160619,-1.1260056069986211e-05,-0.005805515239477504,0.009290690251239138,0.05261907903417331,0.07258213484628578,-0.015096205490716642,0.74
final_metric_transfer,step143000,17,0.3584905660377358,0.3028571428571429,34591.1958479854,34591.201571295,0.005723309600953444,0.24950521176936274,0.03679491844157367,0.15830584509829784,0.18609051326032452,0.21271029332778907,0.01
within_checkpoint,step0,18,0.07547169811320754,0.08888888888888889,56603.76664948174,56603.744301524595,-0.022347957156168864,-0.3281435545586489,-0.0957403564607681,0.04430663675946693,0.06048819105422875,-0.2324031980978808,1.0
within_checkpoint,step143000,18,0.07547169811320754,0.1391941391941392,56603.77306894991,56603.77013039819,-0.0029385517253314067,-0.3797334740730967,-0.06465632709200464,0.13278796675023086,0.17988388969521044,-0.31507714698109207,1.0
final_metric_transfer,step0,18,0.16981132075471697,0.07563025210084033,56603.77416153375,56603.77410707885,-5.445490616883595e-05,0.07019395698640982,0.012530636887412187,0.05698640981659848,0.06754716981132074,0.057663320098997634,0.02
final_metric_transfer,step143000,18,0.07547169811320754,0.1391941391941392,56603.77306894991,56603.77013039819,-0.0029385517253314067,-0.3797334740730967,-0.06465632709200464,0.13278796675023086,0.17988388969521044,-0.31507714698109207,1.0
within_checkpoint,step0,19,0.07547169811320754,0.08123249299719888,-0.008257972994349331,-0.028289909943045893,-0.02003193694427631,-0.28539385143158724,-0.06743513776103827,0.052157276685578534,0.06276289747987841,-0.21795871367054898,1.0
within_checkpoint,step143000,19,0.09433962264150944,0.10476190476190476,-0.0006644581108704314,-0.0012010585068089725,-0.0005366003976679273,-0.1704710383955667,0.023182078070585796,0.1242908035360865,0.1622087346615648,-0.19365311646615252,1.0
final_metric_transfer,step0,19,0.1320754716981132,0.06466934599926928,-0.00037518146702190106,0.00019621560557368946,0.0005713970742904223,0.057923208866605104,0.026969790263100722,0.06660509302018734,0.09156616967937721,0.030953418603504382,0.16
final_metric_transfer,step143000,19,0.09433962264150944,0.10476190476190476,-0.0006644581108704314,-0.0012010585068089725,-0.0005366003976679273,-0.1704710383955667,0.023182078070585796,0.1242908035360865,0.1622087346615648,-0.19365311646615252,1.0
within_checkpoint,step0,20,0.22641509433962265,0.23174603174603173,0.00757835475015512,0.03822613457133766,0.030647779821182553,-0.09090909090909091,-0.05727015504030941,-0.006069402295817394,0.008607995777807038,-0.0336389358687815,0.82
within_checkpoint,step143000,20,0.2830188679245283,0.3321661998132587,-0.0018652582031136124,0.0016944027201665974,0.003559660923280209,0.057131547697585425,0.03237680939224678,0.0942736508774244,0.13414170734925446,0.02475473830533864,0.27
final_metric_transfer,step0,20,0.16981132075471697,0.09748917748917749,-0.0013714257129632962,-0.00014044632072894974,0.0012309793922343464,0.1460614856841272,-0.00844838409160879,0.09981527906056206,0.12360733606016616,0.15450986977573597,0.01
final_metric_transfer,step143000,20,0.2830188679245283,0.3321661998132587,-0.0018652582031136124,0.0016944027201665974,0.003559660923280209,0.057131547697585425,0.03237680939224678,0.0942736508774244,0.13414170734925446,0.02475473830533864,0.27
within_checkpoint,step0,21,0.2641509433962264,0.22653061224489798,-9433.956145837381,-9433.817021214376,0.13912462301010717,0.29317851959361396,0.13708932576857105,0.2405462462066235,0.2745560100277081,0.1560891938250429,0.01
within_checkpoint,step143000,21,0.4716981132075472,0.44353741496598637,-9433.96250679229,-9433.948630430586,0.013876361704376452,0.3863306504815938,0.07186524167656244,0.2638210845758016,0.3168702995118089,0.3144654088050314,0.01
final_metric_transfer,step0,21,0.16981132075471697,0.041474654377880185,-9433.960840257014,-9433.962668878838,-0.001828621825355803,-0.09671460614856839,-0.04031074700028388,-0.003377754321150566,0.0165087742446233,-0.05640385914828451,0.97
final_metric_transfer,step143000,21,0.4716981132075472,0.44353741496598637,-9433.96250679229,-9433.948630430586,0.013876361704376452,0.3863306504815938,0.07186524167656244,0.2638210845758016,0.3168702995118089,0.3144654088050314,0.01
