task,representation,null_index,future_alignment,leave_one_out_alignment
relation_graph,norm_only_fixed_direction,104,0.9553373456001282,0.9594683647155762
relation_graph,norm_only_fixed_direction,105,0.9542471766471863,0.9586912393569946
relation_graph,norm_only_fixed_direction,106,0.9545140862464905,0.9588963389396667
relation_graph,norm_only_fixed_direction,107,0.9547620415687561,0.959069013595581
relation_graph,norm_only_fixed_direction,108,0.954728364944458,0.9589897990226746
relation_graph,norm_only_fixed_direction,109,0.9546427130699158,0.9589647054672241
relation_graph,norm_only_fixed_direction,110,0.9544493556022644,0.9588587880134583
relation_graph,norm_only_fixed_direction,111,0.9548549056053162,0.9590549468994141
relation_graph,norm_only_fixed_direction,112,0.9550132155418396,0.959160566329956
relation_graph,norm_only_fixed_direction,113,0.9545099139213562,0.9589945673942566
relation_graph,norm_only_fixed_direction,114,0.9545079469680786,0.9587968587875366
relation_graph,norm_only_fixed_direction,115,0.9546687006950378,0.959029495716095
relation_graph,norm_only_fixed_direction,116,0.9549930095672607,0.9592512845993042
relation_graph,norm_only_fixed_direction,117,0.954340934753418,0.958764910697937
relation_graph,norm_only_fixed_direction,118,0.9549379944801331,0.9591303467750549
relation_graph,norm_only_fixed_direction,119,0.9549055099487305,0.959128737449646
relation_graph,norm_only_fixed_direction,120,0.9544442892074585,0.9587315917015076
relation_graph,norm_only_fixed_direction,121,0.9547438025474548,0.9590104818344116
relation_graph,norm_only_fixed_direction,122,0.9545724987983704,0.9589110016822815
relation_graph,norm_only_fixed_direction,123,0.9545447826385498,0.958832323551178
relation_graph,norm_only_fixed_direction,124,0.9542468190193176,0.9586514830589294
relation_graph,norm_only_fixed_direction,125,0.9546704888343811,0.9590716361999512
relation_graph,norm_only_fixed_direction,126,0.9553752541542053,0.9595038890838623
relation_graph,norm_only_fixed_direction,127,0.9548561573028564,0.9590720534324646
relation_graph,norm_only_fixed_direction,128,0.954720675945282,0.9589534401893616
relation_graph,norm_only_fixed_direction,129,0.954439103603363,0.958757221698761
relation_graph,norm_only_fixed_direction,130,0.9537413716316223,0.9581736326217651
relation_graph,norm_only_fixed_direction,131,0.9549384713172913,0.959214985370636
relation_graph,norm_only_fixed_direction,132,0.9548906087875366,0.9591659903526306
relation_graph,norm_only_fixed_direction,133,0.9556931257247925,0.9596766233444214
relation_graph,norm_only_fixed_direction,134,0.953859269618988,0.9583918452262878
relation_graph,norm_only_fixed_direction,135,0.9543548226356506,0.9587753415107727
relation_graph,norm_only_fixed_direction,136,0.9541795253753662,0.9586160778999329
relation_graph,norm_only_fixed_direction,137,0.9543361067771912,0.9586644768714905
relation_graph,norm_only_fixed_direction,138,0.9548096656799316,0.9591569304466248
relation_graph,norm_only_fixed_direction,139,0.9547703266143799,0.9590986967086792
relation_graph,norm_only_fixed_direction,140,0.9546318054199219,0.9588313698768616
relation_graph,norm_only_fixed_direction,141,0.9553040266036987,0.9594364762306213
relation_graph,norm_only_fixed_direction,142,0.9546179175376892,0.9589042067527771
relation_graph,norm_only_fixed_direction,143,0.9537436962127686,0.9582563638687134
relation_graph,norm_only_fixed_direction,144,0.9547520875930786,0.9590157866477966
relation_graph,norm_only_fixed_direction,145,0.954226016998291,0.9586741328239441
relation_graph,norm_only_fixed_direction,146,0.9548837542533875,0.9592105746269226
relation_graph,norm_only_fixed_direction,147,0.9553635120391846,0.9594784379005432
relation_graph,norm_only_fixed_direction,148,0.9548921585083008,0.9591533541679382
relation_graph,norm_only_fixed_direction,149,0.9540386199951172,0.9585279822349548
relation_graph,norm_only_fixed_direction,150,0.9549262523651123,0.9591461420059204
relation_graph,norm_only_fixed_direction,151,0.9546888470649719,0.9589120745658875
relation_graph,norm_only_fixed_direction,152,0.9547235369682312,0.9589803218841553
relation_graph,norm_only_fixed_direction,153,0.9543080925941467,0.958827555179596
relation_graph,norm_only_fixed_direction,154,0.9545644521713257,0.958895742893219
relation_graph,norm_only_fixed_direction,155,0.9543506503105164,0.9586713314056396
relation_graph,norm_only_fixed_direction,156,0.9548185467720032,0.9591425657272339
relation_graph,norm_only_fixed_direction,157,0.9544928669929504,0.9587897062301636
relation_graph,norm_only_fixed_direction,158,0.9545107483863831,0.9587971568107605
relation_graph,norm_only_fixed_direction,159,0.954423189163208,0.9587662220001221
relation_graph,norm_only_fixed_direction,160,0.9549820423126221,0.9591545462608337
relation_graph,norm_only_fixed_direction,161,0.9543133974075317,0.9586946368217468
relation_graph,norm_only_fixed_direction,162,0.954394519329071,0.9587309956550598
relation_graph,norm_only_fixed_direction,163,0.9554657936096191,0.9596337676048279
relation_graph,norm_only_fixed_direction,164,0.955152153968811,0.9593202471733093
relation_graph,norm_only_fixed_direction,165,0.9546983242034912,0.958984911441803
relation_graph,norm_only_fixed_direction,166,0.9544301629066467,0.9588394165039062
relation_graph,norm_only_fixed_direction,167,0.955813467502594,0.9598490595817566
relation_graph,norm_only_fixed_direction,168,0.9541742205619812,0.9586681127548218
relation_graph,norm_only_fixed_direction,169,0.9546151161193848,0.9588988423347473
relation_graph,norm_only_fixed_direction,170,0.9542214870452881,0.9586805701255798
relation_graph,norm_only_fixed_direction,171,0.9547536969184875,0.9590812921524048
relation_graph,norm_only_fixed_direction,172,0.9541535973548889,0.9584739208221436
relation_graph,norm_only_fixed_direction,173,0.9547449946403503,0.9590479135513306
relation_graph,norm_only_fixed_direction,174,0.9556400179862976,0.9596121907234192
relation_graph,norm_only_fixed_direction,175,0.9558552503585815,0.9599279761314392
relation_graph,norm_only_fixed_direction,176,0.9539546370506287,0.958356499671936
relation_graph,norm_only_fixed_direction,177,0.9546988606452942,0.9589871168136597
relation_graph,norm_only_fixed_direction,178,0.9545364379882812,0.9588006734848022
relation_graph,norm_only_fixed_direction,179,0.9549238085746765,0.9591448903083801
relation_graph,norm_only_fixed_direction,180,0.954247236251831,0.9586024880409241
relation_graph,norm_only_fixed_direction,181,0.9542396068572998,0.9585745930671692
