model_key,proxy,proxy_raw_dim,proxy_used_dim,base_state_r2,aug_state_r2,gain_state_r2,base_state_corr,aug_state_corr,gain_state_corr,base_hshape_r2,aug_hshape_r2,gain_hshape_r2,base_hshape_corr,aug_hshape_corr,gain_hshape_corr,base_deltaU_r2,aug_deltaU_r2,gain_deltaU_r2,base_deltaU_corr,aug_deltaU_corr,gain_deltaU_corr,base_mechanism_acc,aug_mechanism_acc,gain_mechanism_acc,base_mechanism_f1,aug_mechanism_f1,gain_mechanism_f1,state_equation_gain_score,proxy_category
qwen,randomK_flow,22,32,0.3067883253097534,0.28737786412239075,-0.01941046118736267,0.5009623695961052,0.4750384321135013,-0.02592393748260391,0.3446085453033447,0.3204549551010132,-0.024153590202331543,0.5789810560257862,0.5565993625520912,-0.022381693473695008,0.26560723781585693,0.23509228229522705,-0.030514955520629883,0.515396911525927,0.48648680066548683,-0.028910110860440208,0.5572916666666666,0.54375,-0.013541666666666674,0.5491547700502925,0.5330854318769406,-0.016069338173351877,-0.09014834508367597,negative_control
llama,hidden_pre_mean,2048,32,0.3654816746711731,0.8876174092292786,0.5221357345581055,0.5041980608678424,0.9400816696620454,0.43588360879420307,0.7605953216552734,0.823225736618042,0.06263041496276855,0.8660790644043179,0.9058330351953736,0.03975397079105569,0.7007125616073608,0.7962477207183838,0.09553515911102295,0.837156600751217,0.8925268398077161,0.05537023905649907,0.48020833333333335,1.0,0.5197916666666667,0.4715600911081599,1.0,0.5284399088918401,1.208741217523737,hidden_state
llama,hidden_precursor_mean,2048,32,0.3654816746711731,0.8859370946884155,0.5204554200172424,0.5041980608678424,0.9392171388570854,0.435019077989243,0.7605953216552734,0.7644551992416382,0.003859877586364746,0.8660790644043179,0.8733860382541031,0.007306973849785181,0.7007125616073608,0.7514821290969849,0.05076956748962402,0.837156600751217,0.8670923605975777,0.029935759846360654,0.48020833333333335,1.0,0.5197916666666667,0.4715600911081599,1.0,0.5284399088918401,1.1035247739850713,hidden_state
llama,directH_flow,24,32,0.3654816746711731,0.7008917927742004,0.33541011810302734,0.5041980608678424,0.8164205643349932,0.31222250346715086,0.7605953216552734,0.8312593698501587,0.07066404819488525,0.8660790644043179,0.9098598008900515,0.04378073648573355,0.7007125616073608,0.7985495328903198,0.09783697128295898,0.837156600751217,0.8936181846395964,0.05646158388837941,0.48020833333333335,0.9802083333333333,0.5,0.4715600911081599,0.9807700481371607,0.5092099570290008,1.0131210946098723,hidden_flow
llama,hidden_decision_mean,2048,32,0.3654816746711731,0.9217525720596313,0.5562708973884583,0.5041980608678424,0.9567172945594432,0.45251923369160085,0.7605953216552734,0.6174143552780151,-0.1431809663772583,0.8660790644043179,0.7859298848099983,-0.08014917959431966,0.7007125616073608,0.6637986302375793,-0.036913931369781494,0.837156600751217,0.8149912050013087,-0.02216539574990828,0.48020833333333335,1.0,0.5197916666666667,0.4715600911081599,1.0,0.5284399088918401,0.9046159085332586,hidden_state
llama,hidden_oflow_pre,18,28,0.3654816746711731,0.6307510733604431,0.26526939868927,0.5041980608678424,0.7611213150213122,0.25692325415346984,0.7605953216552734,0.8161980509757996,0.05560272932052612,0.8660790644043179,0.901156457853616,0.035077393449298055,0.7007125616073608,0.7778541445732117,0.07714158296585083,0.837156600751217,0.8820152421558642,0.04485864140464724,0.48020833333333335,0.9625,0.4822916666666667,0.4715600911081599,0.9630977642975483,0.49153767318938846,0.8895513841650354,hidden_flow
llama,Hshape_dR_decision,4,14,0.3654816746711731,0.44029203057289124,0.07481035590171814,0.5041980608678424,0.5681140576140218,0.06391599674617943,0.7605953216552734,0.9990929365158081,0.23849761486053467,0.8660790644043179,0.9995955659293093,0.1335165015249914,0.7007125616073608,0.9998867511749268,0.2991741895675659,0.837156600751217,0.9999601350395988,0.1628035342883818,0.48020833333333335,0.6375,0.1572916666666666,0.4715600911081599,0.6211460192335435,0.14958592812538363,0.7620680884552024,trajectory_shape
llama,topk_gaussianR_flow,14,24,0.3654816746711731,0.5275698900222778,0.16208821535110474,0.5041980608678424,0.6754202754045885,0.17122221453674613,0.7605953216552734,0.7964577674865723,0.03586244583129883,0.8660790644043179,0.8888075669728739,0.022728502568555964,0.7007125616073608,0.750388503074646,0.049675941467285156,0.837156600751217,0.8663186546761608,0.029162053924943754,0.48020833333333335,0.7666666666666667,0.28645833333333337,0.4715600911081599,0.7634995404539849,0.29193944934582505,0.5395660519955138,topk_psg_readback
llama,hidden_oflow_decision,10,20,0.3654816746711731,0.5263381600379944,0.1608564853668213,0.5041980608678424,0.671215792806967,0.16701773193912461,0.7605953216552734,0.7852236032485962,0.024628281593322754,0.8660790644043179,0.8820590885912012,0.015980024186883268,0.7007125616073608,0.7347049713134766,0.03399240970611572,0.837156600751217,0.8571850932928003,0.020028492541583343,0.48020833333333335,0.7635416666666667,0.2833333333333333,0.4715600911081599,0.7677411521070839,0.29618106099892405,0.5156582376651838,hidden_flow
llama,topk_realW_flow,14,24,0.3654816746711731,0.5453428030014038,0.1798611283302307,0.5041980608678424,0.7030119589377231,0.1988138980698807,0.7605953216552734,0.787426233291626,0.02683091163635254,0.8660790644043179,0.8835784081357954,0.017499343731477435,0.7007125616073608,0.7376230955123901,0.0369105339050293,0.837156600751217,0.8588641700440927,0.02170756929287565,0.48020833333333335,0.7364583333333333,0.25625,0.4715600911081599,0.7404223138642024,0.26886222275604255,0.5124647966276551,topk_psg_readback
