prompt_id,graph_id,chord_alignment,detour_ratio,turning_curvature
ng19_closure_update,19,0.08207902,3.333551,1.7245952
ng19_closure_override,19,0.08207209,3.3669508,1.7207519
ng19_exception_override,19,0.08274097,3.3309917,1.7173213
ng20_clean,20,0.07704124,3.5486073,1.7280471
ng20_permuted,20,0.07578419,3.5758634,1.7309786
ng20_redundant,20,0.07781022,3.4945736,1.7259238
ng20_irrelevant,20,0.078048326,3.52292,1.7281314
ng20_weak_distractor,20,0.07663308,3.5632908,1.726864
ng20_competition_balanced,20,0.07584962,3.5594873,1.7302883
ng20_direct_conflict,20,0.07517887,3.5436738,1.728176
ng20_closure_update,20,0.07545713,3.453675,1.7308131
ng20_closure_override,20,0.07708001,3.439928,1.7258601
ng20_exception_override,20,0.07690096,3.4437504,1.7224171
ng21_clean,21,0.07889396,3.5590065,1.724372
ng21_permuted,21,0.07946729,3.5750215,1.7275478
ng21_redundant,21,0.0792539,3.4948761,1.7223876
ng21_irrelevant,21,0.079355866,3.5152562,1.7272322
ng21_weak_distractor,21,0.079142965,3.4855309,1.7187551
ng21_competition_balanced,21,0.07984485,3.474582,1.7275033
ng21_direct_conflict,21,0.080331415,3.455435,1.7250075
ng21_closure_update,21,0.08191285,3.3498294,1.7257442
ng21_closure_override,21,0.08152133,3.4062386,1.7226664
ng21_exception_override,21,0.08051852,3.3867688,1.7217672
ng22_clean,22,0.07775407,3.514441,1.7227101
ng22_permuted,22,0.077413455,3.5434752,1.7295017
ng22_redundant,22,0.07925357,3.449889,1.7188542
ng22_irrelevant,22,0.07815776,3.4939482,1.7224753
ng22_weak_distractor,22,0.07811589,3.4972975,1.7166879
ng22_competition_balanced,22,0.07834763,3.4513745,1.7195756
ng22_direct_conflict,22,0.07839823,3.4626744,1.7201029
ng22_closure_update,22,0.07878748,3.3780954,1.7208701
ng22_closure_override,22,0.079441346,3.3947592,1.7173762
ng22_exception_override,22,0.07870139,3.418761,1.7153009
ng23_clean,23,0.077874765,3.602441,1.7253247
ng23_permuted,23,0.077700205,3.6220193,1.7230994
ng23_redundant,23,0.079354845,3.5368786,1.7214288
ng23_irrelevant,23,0.07859147,3.5556247,1.7202318
ng23_weak_distractor,23,0.07923762,3.5734305,1.7175026
ng23_competition_balanced,23,0.07973524,3.5786974,1.7224897
ng23_direct_conflict,23,0.08087755,3.563465,1.720786
ng23_closure_update,23,0.081166126,3.4713886,1.7196363
ng23_closure_override,23,0.08151584,3.4812968,1.7193248
ng23_exception_override,23,0.0823253,3.446364,1.7147005
