null_index,cross_half_unbiased_cka,quarter_unbiased_cka,task,model,init_seed
5,-0.013947781254878468,-0.026226664884484427,arc_challenge,qwen,1802
6,0.015942667588547624,-0.019733203291126503,arc_challenge,qwen,1802
7,0.002526883830403167,-0.03831893371572404,arc_challenge,qwen,1802
8,-0.024119853218576914,-0.031914449236916616,arc_challenge,qwen,1802
9,-0.008863108426857197,-0.01210362986571019,arc_challenge,qwen,1802
10,-0.018480430808118432,-0.03738214637636629,arc_challenge,qwen,1802
11,-0.015863937592309422,-0.008098046687038387,arc_challenge,qwen,1802
12,0.0028133070498835107,-0.03972113530993368,arc_challenge,qwen,1802
13,0.006598712655698732,-0.02850692330834157,arc_challenge,qwen,1802
14,-0.04169047713259678,-0.026634992006281482,arc_challenge,qwen,1802
15,0.001424487260956177,0.0023944242228722368,arc_challenge,qwen,1802
16,-0.035113809974657635,-0.044394030218493113,arc_challenge,qwen,1802
17,0.006979949289016801,-0.02779333261129148,arc_challenge,qwen,1802
18,-0.011595273244532531,-0.023120591291381973,arc_challenge,qwen,1802
19,-0.02084098142782318,-0.03127455045872231,arc_challenge,qwen,1802
20,-0.013130217258124473,-0.012853013447320693,arc_challenge,qwen,1802
21,0.0024860034983665855,-0.03431981596966078,arc_challenge,qwen,1802
22,0.004043660141182342,-0.039817088717387795,arc_challenge,qwen,1802
23,0.00662745210826861,-0.019760073873581308,arc_challenge,qwen,1802
24,0.0036641019892536424,-0.032468093285098996,arc_challenge,qwen,1802
25,-0.012393246458050039,-0.0009331749562573438,arc_challenge,qwen,1802
26,-0.011837000857451317,-0.02753926503461527,arc_challenge,qwen,1802
27,0.020284947491890158,-0.013403613138243654,arc_challenge,qwen,1802
28,-0.030312579564860248,-0.04318118156516453,arc_challenge,qwen,1802
29,0.01403161695617148,-0.030639840782608455,arc_challenge,qwen,1802
30,-0.009530169793786085,-0.0415377887021346,arc_challenge,qwen,1802
31,-0.004793830058717906,-0.03535825952869654,arc_challenge,qwen,1802
32,0.009625576358931368,-0.03883679462784947,arc_challenge,qwen,1802
33,0.033435531465054256,0.0072639352317252085,arc_challenge,qwen,1802
34,-0.010134604286205507,-0.028737419859064937,arc_challenge,qwen,1802
35,-0.003774526681230272,-0.02801304649613943,arc_challenge,qwen,1802
36,0.017095701189738997,0.01788701303481302,arc_challenge,qwen,1802
37,0.006713404095776773,-0.025925377781374603,arc_challenge,qwen,1802
38,-0.00981719538782595,-0.058241820658819075,arc_challenge,qwen,1802
39,0.00468191236230301,-0.02562942196086017,arc_challenge,qwen,1802
40,-0.013772642243159385,-0.021119446497652745,arc_challenge,qwen,1802
41,-0.028589571206140283,-0.04511495655441612,arc_challenge,qwen,1802
42,0.002594410237395027,-0.016609623575055056,arc_challenge,qwen,1802
43,0.012853661673946942,-0.009177487483206459,arc_challenge,qwen,1802
44,-0.0013000615989498564,-0.021252862569525046,arc_challenge,qwen,1802
45,-0.0031617381747911567,-0.02076927882596902,arc_challenge,qwen,1802
46,0.03737134425729093,-0.00333112322911964,arc_challenge,qwen,1802
47,-0.0022089669594711693,-0.030538539323374553,arc_challenge,qwen,1802
48,-0.009165510530772455,0.001496616274231556,arc_challenge,qwen,1802
49,-0.005200121154412066,-0.026269332093476965,arc_challenge,qwen,1802
50,-0.004106513146912756,-0.05785986973327403,arc_challenge,qwen,1802
51,-0.0037568034129823167,-0.05142567337877167,arc_challenge,qwen,1802
52,0.005098816558567241,-0.02763413857306673,arc_challenge,qwen,1802
53,-0.019534452328326655,-0.03542155923600166,arc_challenge,qwen,1802
54,0.006057313527795587,-0.022389886756775265,arc_challenge,qwen,1802
55,-0.002293237946425295,-0.03239834629687653,arc_challenge,qwen,1802
56,-0.02971724749593414,-0.03962444382169661,arc_challenge,qwen,1802
57,-0.01072242403945502,-0.04647718498072704,arc_challenge,qwen,1802
58,-0.0014129764043067099,-0.043469293717309954,arc_challenge,qwen,1802
59,0.0013421088711701216,-0.008452046615336826,arc_challenge,qwen,1802
60,0.014781053381424141,-0.013893844345137468,arc_challenge,qwen,1802
61,-0.008938605849475485,-0.02249321631977683,arc_challenge,qwen,1802
62,-0.006618940276408715,-0.031161089544131867,arc_challenge,qwen,1802
63,0.006389873897675359,-0.00519365780357514,arc_challenge,qwen,1802
64,0.003920367115956357,-0.039316657982737854,arc_challenge,qwen,1802
65,0.006003071828677927,-0.04333757913992656,arc_challenge,qwen,1802
66,-0.018112151519663295,-0.03928698192480664,arc_challenge,qwen,1802
67,0.014189345970777516,-0.027276652476858156,arc_challenge,qwen,1802
68,0.025569260891965,-0.010925083203948482,arc_challenge,qwen,1802
69,0.002392874564264747,-0.03699687795588159,arc_challenge,qwen,1802
70,0.006729110757107002,-0.028824315453415426,arc_challenge,qwen,1802
71,-0.00486270035556554,-0.032896116685608434,arc_challenge,qwen,1802
72,-4.1558141975620683e-05,-0.02711900350426786,arc_challenge,qwen,1802
73,0.021209640793342564,-0.046214289258244466,arc_challenge,qwen,1802
74,-0.0036734807980383223,-0.03442949633242937,arc_challenge,qwen,1802
75,-0.020549765124604033,-0.020841062150861404,arc_challenge,qwen,1802
76,-0.009802096506007416,-0.017805003127620116,arc_challenge,qwen,1802
77,-0.01205655132926394,-0.04245805362357438,arc_challenge,qwen,1802
78,-0.02427556396513269,-0.007323309236295655,arc_challenge,qwen,1802
79,-0.006793296446629204,-0.011913143645515496,arc_challenge,qwen,1802
80,0.0010540848224523587,-0.022569181553367835,arc_challenge,qwen,1802
81,0.010468393246882953,-0.02093963852952213,arc_challenge,qwen,1802
82,-0.009250755736938667,-0.030030339444910924,arc_challenge,qwen,1802
83,0.0039023544257196854,-0.03779353059365802,arc_challenge,qwen,1802
84,0.020706114367710058,-0.014510670880449938,arc_challenge,qwen,1802
85,0.016441851729434256,0.0031372392404164363,arc_challenge,qwen,1802
86,0.004877688354677693,-0.04019334834617559,arc_challenge,qwen,1802
87,-0.009183669100233655,-0.026216929023228187,arc_challenge,qwen,1802
88,-0.025240614770232102,-0.0582117004518177,arc_challenge,qwen,1802
89,-0.023479516055588484,-0.03214321481009851,arc_challenge,qwen,1802
90,0.02115080497142955,-0.007807596639465177,arc_challenge,qwen,1802
91,-0.012443547111665306,-0.053157241688583934,arc_challenge,qwen,1802
92,-0.027235075546287017,-0.0709926977240558,arc_challenge,qwen,1802
93,-0.005725665042816753,-0.02870739567066682,arc_challenge,qwen,1802
94,-0.006859046747904169,-0.031697367247104064,arc_challenge,qwen,1802
95,-0.007857045384217536,-0.010536011980243412,arc_challenge,qwen,1802
96,0.00567160225938286,-0.03455804833910839,arc_challenge,qwen,1802
97,0.01385138993874339,0.021093719387976318,arc_challenge,qwen,1802
98,0.009842623879513037,-0.02741353728057394,arc_challenge,qwen,1802
99,0.007817687507051183,-0.05641572196027868,arc_challenge,qwen,1802
100,-0.03639636956057356,-0.06461044476848854,arc_challenge,qwen,1802
101,0.00985907938241758,-0.023615337913056565,arc_challenge,qwen,1802
102,-0.010609464900460273,-0.02497803222445104,arc_challenge,qwen,1802
103,-0.0002935212655321608,-0.024007323986920563,arc_challenge,qwen,1802
104,-0.003328141325347195,-0.043508347122012236,arc_challenge,qwen,1802
105,-0.018295774513235184,-0.04161340910566118,arc_challenge,qwen,1802
106,-0.009344943839259089,-0.019926591991297954,arc_challenge,qwen,1802
107,-0.0044250237193432605,-0.01330492650476015,arc_challenge,qwen,1802
108,0.005639128944952375,-0.036505868552348865,arc_challenge,qwen,1802
109,-0.0009968166084685696,-0.020680143717095485,arc_challenge,qwen,1802
110,-0.0008257754788780103,-0.03759028505609931,arc_challenge,qwen,1802
111,-0.02526256455793232,-0.03475193100228549,arc_challenge,qwen,1802
112,-0.019817231384684202,-0.01644587477565649,arc_challenge,qwen,1802
113,0.012837934663677369,-0.0464738226208321,arc_challenge,qwen,1802
114,0.010455302509088762,-0.046014880393986865,arc_challenge,qwen,1802
115,-0.02240768624463618,-0.034106798112340936,arc_challenge,qwen,1802
116,-0.007050868233596469,-0.02393038242016613,arc_challenge,qwen,1802
117,-0.0026519061933274967,-0.03949979999091192,arc_challenge,qwen,1802
118,0.02224467532040223,-0.03728888137491002,arc_challenge,qwen,1802
119,-0.018182979240704084,-0.028563821259902998,arc_challenge,qwen,1802
120,-0.0033698574880595003,-0.026323219379230704,arc_challenge,qwen,1802
121,-0.0016319211858460958,-0.01131706622549643,arc_challenge,qwen,1802
122,-0.02050663654347987,-0.03756661403885455,arc_challenge,qwen,1802
123,-0.008986695724470941,-0.04886522121016417,arc_challenge,qwen,1802
124,-0.019807219026239605,-0.03466815061143374,arc_challenge,qwen,1802
125,0.0034849736517575626,-0.03169748937231293,arc_challenge,qwen,1802
126,-0.011465690589656494,-0.02566657432852298,arc_challenge,qwen,1802
127,0.002230069720549514,-0.024135301043220172,arc_challenge,qwen,1802
128,-0.006051040993607505,0.009495924051247967,arc_challenge,qwen,1802
129,-0.01962130417801898,-0.025369635376642483,arc_challenge,qwen,1802
130,-0.025059920057416817,-0.03658021589884384,arc_challenge,qwen,1802
131,-0.025730107281657887,-0.05119104569720743,arc_challenge,qwen,1802
132,0.011739419275120315,-0.004799979935969039,arc_challenge,qwen,1802
133,-0.022694248666285957,-0.03691378887216466,arc_challenge,qwen,1802
134,-0.00966243109479296,-0.032358285298936904,arc_challenge,qwen,1802
135,0.006130641033544337,-0.02764133724167867,arc_challenge,qwen,1802
136,0.012846887049667749,-0.00044647894539095697,arc_challenge,qwen,1802
137,-0.0021986905905223477,-0.027789988011116904,arc_challenge,qwen,1802
138,0.004614748361534402,-0.04227900771829103,arc_challenge,qwen,1802
139,-0.01250325703020639,-0.03801858164066116,arc_challenge,qwen,1802
140,-0.0011269524914788638,-0.025145417628716606,arc_challenge,qwen,1802
141,-0.006752950692021726,-0.040952959779187136,arc_challenge,qwen,1802
142,-0.012674644478860074,-0.04006605873516908,arc_challenge,qwen,1802
143,0.0027709100288732256,-0.02024605369374759,arc_challenge,qwen,1802
144,-0.018122220827952458,-0.003360833103477037,arc_challenge,qwen,1802
145,0.007181645496337495,-0.010971544117459353,arc_challenge,qwen,1802
146,0.009947256289579666,-0.02090016598190323,arc_challenge,qwen,1802
147,0.006025339701711011,-0.01778305603106785,arc_challenge,qwen,1802
148,0.00048285498809641286,-0.03648289709833139,arc_challenge,qwen,1802
149,-0.021030846276511934,-0.036955828210292994,arc_challenge,qwen,1802
150,-0.011367910720843963,-0.03253756166186981,arc_challenge,qwen,1802
151,-0.00616212315073092,-0.028613086450608966,arc_challenge,qwen,1802
152,-0.0084878871871502,-0.039337061047641106,arc_challenge,qwen,1802
153,-0.03722704561311295,-0.03448481272443296,arc_challenge,qwen,1802
154,0.010463491214134079,-0.008376927679178272,arc_challenge,qwen,1802
155,0.0019912822579577784,-0.003310552225696426,arc_challenge,qwen,1802
156,0.01023591012552926,-0.03250547433736952,arc_challenge,qwen,1802
157,0.002710626433460014,-0.037256216867473164,arc_challenge,qwen,1802
158,-0.012492762863775255,-0.03052270059694849,arc_challenge,qwen,1802
159,-0.009385215718770004,-0.01589313090175242,arc_challenge,qwen,1802
