null_type,null_index,cross_half_identity_advantage,quarter_identity_advantage,cross_half_self_cosine,lag1_cosine,lag2_cosine,cross_half_unbiased_cka,quarter_unbiased_cka,task,model,init_seed
lag1_matched_markov_donor,31,-0.0475899875164032,-0.013971504755318165,-0.20104902982711792,-0.02760157734155655,-0.02011009119451046,0.9744099136513736,0.9594841919679414,lexical_category,qwen,1801
contiguous_block_donor_k4,31,-0.050131991505622864,-0.014061741530895233,-0.20564208924770355,-0.026700913906097412,-0.0222886074334383,0.9582040160982883,0.9387500194331809,lexical_category,qwen,1801
independent_layer_donor,32,-0.047336041927337646,-0.013616557233035564,-0.20075111091136932,-0.02330727130174637,-0.020363757386803627,0.9733484790060855,0.9587046294371602,lexical_category,qwen,1801
lag1_matched_markov_donor,32,-0.04649918153882027,-0.013991221785545349,-0.20003050565719604,-0.0276015792042017,-0.019989416003227234,0.9741095849892947,0.9590936485432388,lexical_category,qwen,1801
contiguous_block_donor_k4,32,-0.04816479980945587,-0.01383401732891798,-0.2039482593536377,-0.026832854375243187,-0.02229984663426876,0.9592649731388079,0.9381340174786593,lexical_category,qwen,1801
independent_layer_donor,33,-0.047806527465581894,-0.013841385953128338,-0.20115655660629272,-0.02332329750061035,-0.0203359667211771,0.9738505434265828,0.958212949320179,lexical_category,qwen,1801
lag1_matched_markov_donor,33,-0.04662862420082092,-0.013478877954185009,-0.2002992033958435,-0.0276015792042017,-0.02003558911383152,0.9725921913036208,0.958324523576926,lexical_category,qwen,1801
contiguous_block_donor_k4,33,-0.04928029701113701,-0.015057998709380627,-0.20487113296985626,-0.026828086003661156,-0.02213001437485218,0.9583836688149618,0.9372539394391779,lexical_category,qwen,1801
independent_layer_donor,34,-0.046383727341890335,-0.013606935739517212,-0.19985227286815643,-0.023542575538158417,-0.020332837477326393,0.9732803266449878,0.9590290232788035,lexical_category,qwen,1801
lag1_matched_markov_donor,34,-0.04771702364087105,-0.013569879345595837,-0.2011648267507553,-0.0276015792042017,-0.02005183696746826,0.9730014161220203,0.9586837880350342,lexical_category,qwen,1801
contiguous_block_donor_k4,34,-0.04905879497528076,-0.014062573201954365,-0.20474569499492645,-0.026714660227298737,-0.022189833223819733,0.9583573902237594,0.9357462024701494,lexical_category,qwen,1801
independent_layer_donor,35,-0.0468708872795105,-0.01312826108187437,-0.20028643310070038,-0.0235076155513525,-0.020414600148797035,0.9746950212903519,0.9590100443015418,lexical_category,qwen,1801
lag1_matched_markov_donor,35,-0.04713008925318718,-0.01428108662366867,-0.20051245391368866,-0.0276015792042017,-0.020009133964776993,0.9729442221874648,0.9582563840504562,lexical_category,qwen,1801
contiguous_block_donor_k4,35,-0.048884134739637375,-0.013966292142868042,-0.20454417169094086,-0.026770753785967827,-0.022245371714234352,0.9582766122980039,0.9378967774520742,lexical_category,qwen,1801
independent_layer_donor,36,-0.04788796976208687,-0.013886719942092896,-0.20121152698993683,-0.02345738746225834,-0.020253434777259827,0.9750550774064525,0.9602574382871168,lexical_category,qwen,1801
lag1_matched_markov_donor,36,-0.04757443070411682,-0.013862550258636475,-0.20110251009464264,-0.0276015792042017,-0.020197557285428047,0.973321161341948,0.9584856688641633,lexical_category,qwen,1801
contiguous_block_donor_k4,36,-0.04911619424819946,-0.01404911745339632,-0.20481912791728973,-0.02677411586046219,-0.02219022810459137,0.958014073985694,0.9391601927905517,lexical_category,qwen,1801
independent_layer_donor,37,-0.04687539115548134,-0.014391221106052399,-0.2003575563430786,-0.02336943708360195,-0.020360412076115608,0.9761040162937562,0.959578613529433,lexical_category,qwen,1801
lag1_matched_markov_donor,37,-0.047517865896224976,-0.014656548388302326,-0.20107710361480713,-0.0276015792042017,-0.020267926156520844,0.9730477175386296,0.9581580149171713,lexical_category,qwen,1801
contiguous_block_donor_k4,37,-0.04893186688423157,-0.01384301483631134,-0.20462776720523834,-0.026827901601791382,-0.022154370322823524,0.9586241238292765,0.9379472703054037,lexical_category,qwen,1801
independent_layer_donor,38,-0.04719250276684761,-0.013889364898204803,-0.20067298412322998,-0.023404039442539215,-0.020303040742874146,0.9731229924676414,0.9581416745841461,lexical_category,qwen,1801
lag1_matched_markov_donor,38,-0.04783272743225098,-0.014489206485450268,-0.20141559839248657,-0.02760157734155655,-0.02008088119328022,0.9733791440533626,0.9593565710864225,lexical_category,qwen,1801
contiguous_block_donor_k4,38,-0.04917054995894432,-0.014252775348722935,-0.20474450290203094,-0.026775270700454712,-0.022155066952109337,0.9560967673696397,0.9350778419278454,lexical_category,qwen,1801
independent_layer_donor,39,-0.04715521261096001,-0.012796514667570591,-0.2005285620689392,-0.023456508293747902,-0.02032790519297123,0.9746130910190066,0.9578530178221325,lexical_category,qwen,1801
lag1_matched_markov_donor,39,-0.046833839267492294,-0.013692907989025116,-0.20046834647655487,-0.0276015792042017,-0.02021380327641964,0.9736423046987022,0.9583998518989987,lexical_category,qwen,1801
contiguous_block_donor_k4,39,-0.047642577439546585,-0.013749073259532452,-0.20325236022472382,-0.026709847152233124,-0.02216263674199581,0.9575001948717511,0.9356843519712994,lexical_category,qwen,1801
independent_layer_donor,40,-0.04657868668437004,-0.013884320855140686,-0.2001558542251587,-0.023474931716918945,-0.02043362893164158,0.9732739998167044,0.9585426086631811,lexical_category,qwen,1801
lag1_matched_markov_donor,40,-0.04651309922337532,-0.014302943833172321,-0.1999555379152298,-0.0276015792042017,-0.020085718482732773,0.9728361103084091,0.9571523440420937,lexical_category,qwen,1801
contiguous_block_donor_k4,40,-0.04929817095398903,-0.013797461055219173,-0.2050735503435135,-0.026812484487891197,-0.022295096889138222,0.9590722394513673,0.9393930435573956,lexical_category,qwen,1801
independent_layer_donor,41,-0.04748013615608215,-0.013756901025772095,-0.20100225508213043,-0.023390183225274086,-0.020385630428791046,0.9746478943948287,0.959193836565755,lexical_category,qwen,1801
lag1_matched_markov_donor,41,-0.047210972756147385,-0.01334069762378931,-0.20081210136413574,-0.0276015792042017,-0.020144023001194,0.972821445797383,0.9597955961684509,lexical_category,qwen,1801
contiguous_block_donor_k4,41,-0.04886673018336296,-0.01376283634454012,-0.20450188219547272,-0.026837142184376717,-0.022180913016200066,0.9591103226838598,0.9395000421496805,lexical_category,qwen,1801
independent_layer_donor,42,-0.046241775155067444,-0.013743420131504536,-0.1995171308517456,-0.023298421874642372,-0.02043323405086994,0.9731577578403586,0.9589372348683421,lexical_category,qwen,1801
lag1_matched_markov_donor,42,-0.04650644585490227,-0.013230212964117527,-0.19991151988506317,-0.0276015792042017,-0.020049910992383957,0.9733935959350201,0.9597752171523103,lexical_category,qwen,1801
contiguous_block_donor_k4,42,-0.050516799092292786,-0.014019082300364971,-0.20633797347545624,-0.026723399758338928,-0.022210469469428062,0.9580918981629453,0.9365613087929837,lexical_category,qwen,1801
independent_layer_donor,43,-0.04645485058426857,-0.013421344570815563,-0.19987380504608154,-0.023292982950806618,-0.020295986905694008,0.9738722289997154,0.9595419961251423,lexical_category,qwen,1801
lag1_matched_markov_donor,43,-0.04792742058634758,-0.01430185791105032,-0.2014598399400711,-0.0276015792042017,-0.020210767164826393,0.9739016781063252,0.9589332627259477,lexical_category,qwen,1801
contiguous_block_donor_k4,43,-0.0481288880109787,-0.0137185575440526,-0.2039778083562851,-0.026758680120110512,-0.022209851071238518,0.9564353699924152,0.9375381036920774,lexical_category,qwen,1801
independent_layer_donor,44,-0.04809282347559929,-0.014380243606865406,-0.20157408714294434,-0.02340293861925602,-0.02037501335144043,0.9742312049560915,0.9592574955512432,lexical_category,qwen,1801
lag1_matched_markov_donor,44,-0.047717999666929245,-0.014231003820896149,-0.20118355751037598,-0.0276015792042017,-0.02017905004322529,0.9742671002701659,0.9582315296841755,lexical_category,qwen,1801
contiguous_block_donor_k4,44,-0.04846874251961708,-0.013471500016748905,-0.2042277306318283,-0.02678181789815426,-0.022107062861323357,0.9576527973066665,0.9359256311833359,lexical_category,qwen,1801
independent_layer_donor,45,-0.046925175935029984,-0.013778469525277615,-0.2004491090774536,-0.023338682949543,-0.02032182179391384,0.97386658537463,0.9582521733691681,lexical_category,qwen,1801
lag1_matched_markov_donor,45,-0.046760689467191696,-0.013142899610102177,-0.20024938881397247,-0.0276015792042017,-0.020030921325087547,0.9736754526195001,0.9601678412782269,lexical_category,qwen,1801
contiguous_block_donor_k4,45,-0.0487498939037323,-0.013614542782306671,-0.20443111658096313,-0.026743775233626366,-0.02222713641822338,0.9591477778971913,0.9359143849801943,lexical_category,qwen,1801
independent_layer_donor,46,-0.047128140926361084,-0.01420697569847107,-0.20043230056762695,-0.023267468437552452,-0.020355427637696266,0.9734484837861425,0.9572860783188538,lexical_category,qwen,1801
lag1_matched_markov_donor,46,-0.047356992959976196,-0.013948566280305386,-0.20079869031906128,-0.0276015792042017,-0.01988987624645233,0.9744810340160645,0.9601139144362854,lexical_category,qwen,1801
contiguous_block_donor_k4,46,-0.04846696928143501,-0.01370580866932869,-0.20411598682403564,-0.026809105649590492,-0.022272586822509766,0.9596378165753544,0.937629746005452,lexical_category,qwen,1801
independent_layer_donor,47,-0.047353845089673996,-0.014085824601352215,-0.20082812011241913,-0.023457251489162445,-0.02030348777770996,0.974614709592317,0.9596884688386083,lexical_category,qwen,1801
lag1_matched_markov_donor,47,-0.046724945306777954,-0.013661947101354599,-0.20016713440418243,-0.0276015792042017,-0.020030859857797623,0.9736856304960058,0.9586875702395066,lexical_category,qwen,1801
contiguous_block_donor_k4,47,-0.0486723892390728,-0.014031961560249329,-0.20424717664718628,-0.02669777162373066,-0.02213410474359989,0.957253474970802,0.9394376898495247,lexical_category,qwen,1801
independent_layer_donor,48,-0.04683535918593407,-0.014159387908875942,-0.20012934505939484,-0.02341114543378353,-0.020283080637454987,0.973038139478537,0.9577457200585339,lexical_category,qwen,1801
lag1_matched_markov_donor,48,-0.046846743673086166,-0.013795453123748302,-0.20026476681232452,-0.0276015792042017,-0.020017316564917564,0.9737672721486889,0.9584752649849555,lexical_category,qwen,1801
